position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,EURUSD,SELL,2021-07-05 09:45:00+00:00,2021-07-05 12:14:40+00:00,1.18655,1.18797,0.0014199999999999768,0.3,0.3,-44.1,0.0,-1.5,-45.6,,[sl 1.18797],2,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
4,EURUSD,SELL,2021-07-06 06:00:00+00:00,2021-07-06 23:45:00+00:00,1.18717,1.18298,-0.004190000000000138,0.3,0.3,124.2,0.0,-1.5,122.7,,Strategy 6.6.111,4,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
6,EURUSD,SELL,2021-07-07 08:45:00+00:00,2021-07-07 21:01:40+00:00,1.18339,1.18117,-0.0022199999999998887,0.3,0.3,65.1,0.0,-1.5,63.599999999999994,,[sl 1.18117],6,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
8,EURUSD,SELL,2021-07-08 08:45:00+00:00,2021-07-08 10:56:40+00:00,1.18019,1.18218,0.0019899999999999363,0.3,0.3,-61.2,0.0,-1.5,-62.7,,[sl 1.18218],8,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
10,EURUSD,SELL,2021-07-09 13:00:00+00:00,2021-07-09 23:45:00+00:00,1.18553,1.18836,0.00283000000000011,0.3,0.3,-86.4,0.0,-1.5,-87.9,,Strategy 6.6.111,10,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
12,EURUSD,SELL,2021-07-13 03:15:00+00:00,2021-07-13 16:48:40+00:00,1.18672,1.18204,-0.0046800000000000175,0.3,0.3,138.9,0.0,-1.5,137.4,,[sl 1.18204],12,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
14,EURUSD,SELL,2021-07-14 08:45:00+00:00,2021-07-14 23:45:00+00:00,1.17878,1.18431,0.005530000000000035,0.3,0.3,-167.4,0.0,-1.5,-168.9,,Strategy 6.6.111,14,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
16,EURUSD,SELL,2021-07-27 15:00:00+00:00,2021-07-27 23:45:00+00:00,1.17988,1.18226,0.0023800000000000487,0.3,0.3,-72.9,0.0,-1.5,-74.4,,Strategy 6.6.111,16,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
18,EURUSD,SELL,2021-07-28 06:15:00+00:00,2021-07-28 11:54:40+00:00,1.18275,1.18265,-9.999999999998899e-05,0.3,0.3,1.5,0.0,-1.5,0.0,,[sl 1.18265],18,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
20,EURUSD,SELL,2021-07-29 05:45:00+00:00,2021-07-29 23:45:00+00:00,1.1855,1.18902,0.0035199999999999676,0.3,0.3,-107.1,0.0,-1.5,-108.6,,Strategy 6.6.111,20,1.18797,IS,listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\EURUSD\listOfTrades_EURUSD_18_6.6.111_SELL_M15.csv,LIVE_ACCOUNT,EURUSD,LIVE_ACCOUNT
