position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDJPY,BUY,2021-07-09 11:30:00+00:00,2021-07-09 23:45:00+00:00,110.108,110.122,0.013999999999995794,0.4,0.4,3.09,0.0,-2.0,1.0899999999999999,,Strategy 6.27.190,2,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
4,USDJPY,BUY,2021-07-12 01:30:00+00:00,2021-07-12 23:45:30+00:00,110.261,110.344,0.08299999999999841,0.4,0.4,28.09,0.0,-2.0,26.09,,Strategy 6.27.190,4,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
6,USDJPY,BUY,2021-07-13 00:30:00+00:00,2021-07-13 23:45:00+00:00,110.372,110.64,0.2680000000000007,0.4,0.4,94.89,0.0,-2.0,92.89,,Strategy 6.27.190,6,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
8,USDJPY,BUY,2021-07-16 10:30:00+00:00,2021-07-16 23:45:00+00:00,110.088,110.066,-0.02199999999999136,0.4,0.4,-10.0,0.0,-2.0,-12.0,,Strategy 6.27.190,8,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
10,USDJPY,BUY,2021-07-19 10:00:00+00:00,2021-07-19 16:27:40+00:00,110.076,109.276,-0.7999999999999972,0.4,0.4,-294.84,0.0,-2.0,-296.84,,[sl 109.276],10,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
12,USDJPY,BUY,2021-07-20 17:30:00+00:00,2021-07-20 23:45:00+00:00,109.777,109.852,0.07500000000000284,0.4,0.4,25.31,0.0,-2.0,23.31,,Strategy 6.27.190,12,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
14,USDJPY,BUY,2021-07-21 01:45:00+00:00,2021-07-21 23:45:00+00:00,109.88,110.286,0.4060000000000059,0.4,0.4,145.25,0.0,-2.0,143.25,,Strategy 6.27.190,14,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
16,USDJPY,BUY,2021-07-22 10:45:00+00:00,2021-07-22 23:45:00+00:00,110.288,110.186,-0.10199999999998965,0.4,0.4,-39.03,0.0,-2.0,-41.03,,Strategy 6.27.190,16,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
18,USDJPY,BUY,2021-07-23 05:15:00+00:00,2021-07-23 23:45:00+00:00,110.246,110.551,0.3050000000000068,0.4,0.4,108.36,0.0,-2.0,106.36,,Strategy 6.27.190,18,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
20,USDJPY,BUY,2021-07-28 11:00:00+00:00,2021-07-28 23:45:00+00:00,110.02,109.892,-0.1280000000000001,0.4,0.4,-48.59,0.0,-2.0,-50.59,,Strategy 6.27.190,20,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
22,USDJPY,BUY,2021-07-30 09:15:00+00:00,2021-07-30 23:45:00+00:00,109.614,109.692,0.07799999999998875,0.4,0.4,26.44,0.0,-2.0,24.44,,Strategy 6.27.190,22,6.27.190,IS,listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\LIVE_ACCOUNT\USDJPY\listOfTrades_USDJPY_39_6.27.190_BUY_M15.csv,LIVE_ACCOUNT,USDJPY,LIVE_ACCOUNT
