position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio
2,EURUSD,BUY,2021-07-06 12:30:00+00:00,2021-07-06 23:45:00+00:00,1.18445,1.18248,-0.00197,0.1,0.1,-20.2,0.0,-0.5,-20.7,,Strategy 4.34.165,2,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
4,EURUSD,BUY,2021-07-07 17:30:00+00:00,2021-07-07 18:40:40+00:00,1.17899,1.18035,0.00136,0.1,0.1,13.1,0.0,-0.5,12.6,,[tp 1.18035],4,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
6,EURUSD,BUY,2021-07-08 05:00:00+00:00,2021-07-08 08:40:20+00:00,1.17904,1.18,0.0009599999999998,0.1,0.1,9.1,0.0,-0.5,8.6,,[tp 1.18000],6,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
8,EURUSD,BUY,2021-07-09 09:30:00+00:00,2021-07-09 10:51:40+00:00,1.18343,1.18424,0.0008099999999999,0.1,0.1,7.6,0.0,-0.5,7.1,,[tp 1.18424],8,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
10,EURUSD,BUY,2021-07-12 09:45:00+00:00,2021-07-12 10:14:40+00:00,1.18644,1.18715,0.0007099999999999,0.1,0.1,6.6,0.0,-0.5,6.1,,[tp 1.18715],10,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
12,EURUSD,BUY,2021-07-13 11:15:00+00:00,2021-07-13 15:30:40+00:00,1.18501,1.18156,-0.0034499999999999,0.1,0.1,-35.0,0.0,-0.5,-35.5,,[sl 1.18156],12,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
14,EURUSD,BUY,2021-07-14 01:00:00+00:00,2021-07-14 09:28:40+00:00,1.17818,1.17935,0.0011699999999998,0.1,0.1,11.2,0.0,-0.5,10.7,,[tp 1.17935],14,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
16,EURUSD,BUY,2021-07-15 06:00:00+00:00,2021-07-15 08:26:40+00:00,1.18286,1.18361,0.00075,0.1,0.1,7.0,0.0,-0.5,6.5,,[tp 1.18361],16,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
18,EURUSD,BUY,2021-07-16 15:00:00+00:00,2021-07-16 16:16:40+00:00,1.17993,1.18089,0.00096,0.1,0.1,9.1,0.0,-0.5,8.6,,[tp 1.18089],18,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
20,EURUSD,BUY,2021-07-19 11:15:00+00:00,2021-07-19 16:11:40+00:00,1.17833,1.17914,0.0008099999999999,0.1,0.1,7.6,0.0,-0.5,7.1,,[tp 1.17914],20,4.34.165,IS,listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
