position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio
2,USDCAD,BUY,2021-07-05 16:15:00+00:00,2021-07-05 23:45:00+00:00,1.2359,1.23414,-0.0017599999999999,0.1,0.1,-14.76,0.0,-0.5,-15.26,,Strategy_6_27_122,2,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
4,USDCAD,BUY,2021-07-06 03:45:00+00:00,2021-07-06 12:35:40+00:00,1.23404,1.2364,0.0023599999999999,0.1,0.1,18.59,0.0,-0.5,18.09,,[tp 1.23640],4,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
6,USDCAD,BUY,2021-07-07 13:00:00+00:00,2021-07-07 17:04:40+00:00,1.24345,1.2465,0.0030499999999999,0.1,0.1,23.97,0.0,-0.5,23.47,,[tp 1.24650],6,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
8,USDCAD,BUY,2021-07-08 12:00:00+00:00,2021-07-08 19:11:20+00:00,1.2565,1.2525,-0.004,0.1,0.1,-32.44,0.0,-0.5,-32.94,,[sl 1.25250],8,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
10,USDCAD,BUY,2021-07-09 10:15:00+00:00,2021-07-09 15:31:40+00:00,1.25239,1.24839,-0.0039999999999997,0.1,0.1,-32.54,0.0,-0.5,-33.04,,[sl 1.24839],10,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
12,USDCAD,BUY,2021-07-12 14:15:00+00:00,2021-07-12 17:17:40+00:00,1.25123,1.24723,-0.004,0.1,0.1,-32.57,0.0,-0.5,-33.07,,[sl 1.24723],12,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
14,USDCAD,BUY,2021-07-13 09:15:00+00:00,2021-07-13 12:47:40+00:00,1.24607,1.24793,0.0018599999999999,0.1,0.1,14.4,0.0,-0.5,13.9,,[tp 1.24793],14,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
16,USDCAD,BUY,2021-07-14 08:45:00+00:00,2021-07-14 12:09:40+00:00,1.25045,1.25242,0.00197,0.1,0.1,15.23,0.0,-0.5,14.73,,[tp 1.25242],16,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
18,USDCAD,BUY,2021-07-15 11:00:00+00:00,2021-07-15 16:02:40+00:00,1.25292,1.25602,0.0030999999999998,0.1,0.1,24.18,0.0,-0.5,23.68,,[tp 1.25602],18,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
20,USDCAD,BUY,2021-07-16 11:15:00+00:00,2021-07-16 22:13:40+00:00,1.25845,1.26142,0.0029699999999999,0.1,0.1,23.04,0.0,-0.5,22.54,,[tp 1.26142],20,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
22,USDCAD,BUY,2021-07-19 12:45:00+00:00,2021-07-19 13:11:40+00:00,1.27505,1.27967,0.00462,0.1,0.1,35.6,0.0,-0.5,35.1,,[tp 1.27967],22,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
24,USDCAD,BUY,2021-07-20 09:00:00+00:00,2021-07-20 18:54:40+00:00,1.27693,1.27293,-0.004,0.1,0.1,-31.92,0.0,-0.5,-32.42,,[sl 1.27293],24,1.2364,IS,listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_51_6.27.122_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
