position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio
922,AUDUSD,SELL,2024-07-04 04:45:00+00:00,2024-07-04 15:19:20+00:00,0.67204,0.67318,0.00114,0.1,0.1,-11.9,0.0,-0.5,-12.4,,[sl 0.67318],922,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-04 04:45:00+00:00,2024-07-04 15:30:00+00:00,44,0.67204,0.67265,0.67316,0.67107,0.67107,0.67316,0.0009699999999999154,0.0011200000000000099,0.0009699999999999154,0.0011400000000000299,0.1443366466281643,0.16963275995476904,120.0,630.0,-0.0011400000000000299,-1.1752577319588962,28,16,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,adjusted,raw_mae_below_realized_loss_adjusted,ok,,,
924,AUDUSD,SELL,2024-07-05 03:30:00+00:00,2024-07-05 15:30:20+00:00,0.67295,0.6717,-0.00125,0.1,0.1,12.0,0.0,-0.5,11.5,,[tp 0.67170],924,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-05 03:30:00+00:00,2024-07-05 15:45:00+00:00,50,0.67295,0.67358,0.67524,0.67094,0.67094,0.67524,0.0020100000000000673,0.0022899999999999032,0.0020100000000000673,0.0022899999999999032,0.298684894865899,0.34029274091684425,720.0,720.0,0.0012500000000000844,0.6218905472637027,3,47,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
926,AUDUSD,SELL,2024-07-08 06:30:00+00:00,2024-07-08 23:45:00+00:00,0.67563,0.67364,-0.0019899999999999,0.1,0.1,19.4,0.0,-0.5,18.9,,Strategy 5.9.126,926,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-08 06:30:00+00:00,2024-07-08 23:45:00+00:00,70,0.67563,0.67365,0.67609,0.67316,0.67316,0.67609,0.0024699999999999722,0.00046000000000001595,0.0024699999999999722,0.00046000000000001595,0.3655847135266303,0.06808460251913266,945.0,0.0,0.0019899999999999363,0.8056680161943153,69,1,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
928,AUDUSD,SELL,2024-07-09 02:45:00+00:00,2024-07-09 17:05:40+00:00,0.67412,0.67279,-0.00133,0.1,0.1,12.8,0.0,-0.5,12.3,,[tp 0.67279],928,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-09 02:45:00+00:00,2024-07-09 17:15:00+00:00,59,0.67412,0.67347,0.67475,0.67264,0.67264,0.67475,0.0014800000000000368,0.0006299999999999084,0.0014800000000000368,0.0006299999999999084,0.21954548151664938,0.09345517118612537,855.0,30.0,0.0013300000000000534,0.8986486486486623,40,18,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
930,AUDUSD,SELL,2024-07-10 17:15:00+00:00,2024-07-10 23:45:00+00:00,0.67473,0.6747,-3.0000000000085517e-05,0.1,0.1,-0.2,0.0,-0.5,-0.7,,Strategy 5.9.126,930,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-10 17:15:00+00:00,2024-07-10 23:45:00+00:00,27,0.67473,0.67461,0.6752,0.67383,0.67383,0.6752,0.0009000000000000119,0.00046999999999997044,0.0009000000000000119,0.00046999999999997044,0.1333866880085385,0.06965749262667592,240.0,15.0,3.0000000000085514e-05,0.03333333333342791,20,7,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
932,AUDUSD,SELL,2024-07-11 15:45:00+00:00,2024-07-11 17:05:40+00:00,0.67953,0.67904,-0.0004899999999999,0.1,0.1,4.4,0.0,-0.5,3.9,,[sl 0.67904],932,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-11 15:45:00+00:00,2024-07-11 17:15:00+00:00,7,0.67953,0.67685,0.67985,0.67638,0.67638,0.67985,0.003149999999999986,0.00031999999999998696,0.003149999999999986,0.00031999999999998696,0.4635556929053885,0.04709137197768854,45.0,0.0,0.0004899999999999904,0.1555555555555532,7,0,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
934,AUDUSD,SELL,2024-07-12 02:30:00+00:00,2024-07-12 11:33:40+00:00,0.67662,0.67761,0.00099,0.1,0.1,-10.4,0.0,-0.5,-10.9,,[sl 0.67761],934,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-12 02:30:00+00:00,2024-07-12 11:45:00+00:00,38,0.67662,0.67767,0.67774,0.67539,0.67539,0.67774,0.0012299999999999534,0.0011200000000000099,0.0012299999999999534,0.0011200000000000099,0.18178593597587323,0.16552865714877035,165.0,540.0,-0.0009900000000000464,-0.804878048780556,22,16,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
936,AUDUSD,SELL,2024-07-15 06:15:00+00:00,2024-07-15 11:27:40+00:00,0.67779,0.67881,0.00102,0.1,0.1,-10.7,0.0,-0.5,-11.2,,[sl 0.67881],936,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-15 06:15:00+00:00,2024-07-15 11:30:00+00:00,22,0.67779,0.67879,0.67887,0.67662,0.67662,0.67887,0.0011700000000000044,0.0010799999999999699,0.0011700000000000044,0.0010799999999999699,0.1726198380029219,0.15934138892576902,195.0,315.0,-0.0010200000000000209,-0.8717948717948864,18,4,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
938,AUDUSD,SELL,2024-07-16 21:30:00+00:00,2024-07-16 23:45:00+00:00,0.67311,0.67346,0.0003499999999999,0.1,0.1,-4.0,0.0,-0.5,-4.5,,Strategy 5.9.126,938,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-16 21:30:00+00:00,2024-07-16 23:45:00+00:00,10,0.67311,0.67338,0.67363,0.67306,0.67306,0.67363,4.999999999999449e-05,0.0005199999999999649,4.999999999999449e-05,0.0005199999999999649,0.00742820638528539,0.07725334640697136,0.0,75.0,-0.00034999999999996145,-7.0,0,10,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
940,AUDUSD,SELL,2024-07-17 05:00:00+00:00,2024-07-17 11:52:40+00:00,0.67393,0.67512,0.00119,0.1,0.1,-12.4,0.0,-0.5,-12.9,,[sl 0.67512],940,0.75161,OOS,listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-17 05:00:00+00:00,2024-07-17 12:00:00+00:00,29,0.67393,0.67466,0.67548,0.6729,0.6729,0.67548,0.0010299999999999754,0.0015499999999999403,0.0010299999999999754,0.0015499999999999403,0.15283486415502728,0.22999421304882411,255.0,420.0,-0.0011900000000000244,-1.155339805825294,22,7,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
