Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,AUDUSD,Sell,05.07.2021 02:00:00,0.75199,0.1,05.07.2021 23:45:00,0.7532,21h 45m,-12.6,-12.6,-0.5,-12.6,-12.6,-12.1,-12.1,-0.13,-0.13,Strategy_5_8_189,IS
4,AUDUSD,Sell,06.07.2021 12:30:00,0.75734,0.1,06.07.2021 16:37:00,0.75534,4h 7m,19.5,6.9,-0.5,19.5,6.9,20,7.9,0.2,0.07,tp 0.75534,IS
6,AUDUSD,Sell,08.07.2021 02:00:00,0.74875,0.1,08.07.2021 03:58:20,0.74675,1h 58m,19.5,26.4,-0.5,19.5,26.4,20,27.9,0.19,0.26,tp 0.74675,IS
8,AUDUSD,Sell,09.07.2021 12:00:00,0.74386,0.1,09.07.2021 23:45:00,0.74927,11h 45m,-54.6,-28.2,-0.5,-54.6,-28.2,-54.1,-26.2,-0.54,-0.28,Strategy_5_8_189,IS
10,AUDUSD,Sell,14.07.2021 12:00:00,0.74393,0.1,14.07.2021 23:45:00,0.74868,11h 45m,-48,-76.2,-0.5,-48,-76.2,-47.5,-73.7,-0.48,-0.76,Strategy_5_8_189,IS
12,AUDUSD,Sell,19.07.2021 04:00:00,0.73783,0.1,19.07.2021 11:51:40,0.73583,7h 51m,19.5,-56.7,-0.5,19.5,-56.7,20,-53.7,0.2,-0.57,tp 0.73583,IS
14,AUDUSD,Sell,20.07.2021 08:00:00,0.73248,0.1,20.07.2021 16:19:00,0.73048,8h 19m,19.5,-37.2,-0.5,19.5,-37.2,20,-33.7,0.2,-0.37,tp 0.73048,IS
16,AUDUSD,Sell,21.07.2021 08:00:00,0.73055,0.1,21.07.2021 23:45:00,0.73583,15h 45m,-53.3,-90.5,-0.5,-53.3,-90.5,-52.8,-86.5,-0.53,-0.9,Strategy_5_8_189,IS
18,AUDUSD,Sell,22.07.2021 12:00:00,0.73743,0.1,22.07.2021 23:45:00,0.73823,11h 45m,-8.5,-99,-0.5,-8.5,-99,-8,-94.5,-0.09,-0.99,Strategy_5_8_189,IS
20,AUDUSD,Sell,23.07.2021 04:00:00,0.73847,0.1,23.07.2021 09:02:20,0.73647,5h 2m,19.5,-79.5,-0.5,19.5,-79.5,20,-74.5,0.2,-0.79,tp 0.73647,IS
22,AUDUSD,Sell,27.07.2021 12:00:00,0.73498,0.1,27.07.2021 23:45:00,0.73599,11h 45m,-10.6,-90.1,-0.5,-10.6,-90.1,-10.1,-84.6,-0.11,-0.9,Strategy_5_8_189,IS
24,AUDUSD,Sell,28.07.2021 12:00:00,0.73545,0.1,28.07.2021 15:38:00,0.73345,3h 38m,19.5,-70.6,-0.5,19.5,-70.6,20,-64.6,0.2,-0.7,tp 0.73345,IS
26,AUDUSD,Sell,29.07.2021 02:00:00,0.73752,0.1,29.07.2021 23:45:00,0.73934,21h 45m,-18.7,-89.3,-0.5,-18.7,-89.3,-18.2,-82.8,-0.19,-0.89,Strategy_5_8_189,IS
28,AUDUSD,Sell,30.07.2021 12:00:00,0.73996,0.1,30.07.2021 13:22:40,0.73796,1h 22m,19.5,-69.8,-0.5,19.5,-69.8,20,-62.8,0.2,-0.69,tp 0.73796,IS
30,AUDUSD,Sell,03.08.2021 11:15:00,0.73905,0.1,03.08.2021 16:48:40,0.73705,5h 33m,19.5,-50.3,-0.5,19.5,-50.3,20,-42.8,0.2,-0.5,tp 0.73705,IS
32,AUDUSD,Sell,04.08.2021 12:00:00,0.74156,0.1,04.08.2021 17:21:40,0.73956,5h 21m,19.5,-30.8,-0.5,19.5,-30.8,20,-22.8,0.2,-0.3,tp 0.73956,IS
34,AUDUSD,Sell,09.08.2021 04:00:00,0.73366,0.1,09.08.2021 23:45:00,0.73294,19h 45m,6.7,-24.1,-0.5,6.7,-24.1,7.2,-15.6,0.07,-0.24,Strategy_5_8_189,IS
36,AUDUSD,Sell,16.08.2021 08:00:00,0.73432,0.1,16.08.2021 23:45:00,0.73366,15h 45m,6.1,-18,-0.5,6.1,-18,6.6,-9,0.06,-0.17,Strategy_5_8_189,IS
38,AUDUSD,Sell,17.08.2021 08:00:00,0.73097,0.1,17.08.2021 09:58:40,0.72897,1h 58m,19.5,1.5,-0.5,19.5,1.5,20,11,0.2,0.02,tp 0.72897,IS
40,AUDUSD,Sell,18.08.2021 08:00:00,0.72652,0.1,18.08.2021 13:18:00,0.72452,5h 18m,19.5,21,-0.5,19.5,21,20,31,0.19,0.22,tp 0.72452,IS
42,AUDUSD,Sell,19.08.2021 02:00:00,0.72391,0.1,19.08.2021 03:37:00,0.72191,1h 37m,19.5,40.5,-0.5,19.5,40.5,20,51,0.19,0.41,tp 0.72191,IS
44,AUDUSD,Sell,20.08.2021 08:00:00,0.71381,0.1,20.08.2021 10:24:40,0.71181,2h 24m,19.5,60,-0.5,19.5,60,20,71,0.19,0.61,tp 0.71181,IS
46,AUDUSD,Sell,23.08.2021 04:00:00,0.71484,0.1,23.08.2021 23:45:00,0.72185,19h 45m,-70.6,-10.6,-0.5,-70.6,-10.6,-70.1,0.9,-0.7,-0.1,Strategy_5_8_189,IS
48,AUDUSD,Sell,25.08.2021 12:00:00,0.72574,0.1,25.08.2021 23:45:30,0.72768,11h 45m,-19.9,-30.5,-0.5,-19.9,-30.5,-19.4,-18.5,-0.2,-0.3,Strategy_5_8_189,IS
50,AUDUSD,Sell,27.08.2021 04:00:00,0.72275,0.1,27.08.2021 17:39:40,0.73075,13h 39m,-80.5,-111,-0.5,-80.5,-111,-80,-98.5,-0.81,-1.1,sl 0.73075,IS
52,AUDUSD,Sell,30.08.2021 12:00:00,0.72962,0.1,30.08.2021 23:45:00,0.73001,11h 45m,-4.4,-115.4,-0.5,-4.4,-115.4,-3.9,-102.4,-0.04,-1.15,Strategy_5_8_189,IS
54,AUDUSD,Sell,31.08.2021 08:00:00,0.73108,0.1,31.08.2021 23:45:00,0.73143,15h 45m,-4,-119.4,-0.5,-4,-119.4,-3.5,-105.9,-0.04,-1.19,Strategy_5_8_189,IS
56,AUDUSD,Sell,01.09.2021 12:15:00,0.73402,0.1,01.09.2021 23:45:00,0.73706,11h 30m,-30.9,-150.3,-0.5,-30.9,-150.3,-30.4,-136.3,-0.31,-1.5,Strategy_5_8_189,IS
58,AUDUSD,Sell,02.09.2021 12:00:00,0.73888,0.1,02.09.2021 23:45:00,0.74008,11h 45m,-12.5,-162.8,-0.5,-12.5,-162.8,-12,-148.3,-0.13,-1.63,Strategy_5_8_189,IS
60,AUDUSD,Sell,03.09.2021 13:45:00,0.74319,0.1,03.09.2021 23:45:00,0.74491,10h 0m,-17.7,-180.5,-0.5,-17.7,-180.5,-17.2,-165.5,-0.18,-1.81,Strategy_5_8_189,IS
62,AUDUSD,Sell,06.09.2021 04:00:00,0.74359,0.1,06.09.2021 23:45:00,0.74393,19h 45m,-3.9,-184.4,-0.5,-3.9,-184.4,-3.4,-168.9,-0.04,-1.85,Strategy_5_8_189,IS
64,AUDUSD,Sell,07.09.2021 04:00:00,0.74505,0.1,07.09.2021 08:02:00,0.74305,4h 2m,19.5,-164.9,-0.5,19.5,-164.9,20,-148.9,0.2,-1.65,tp 0.74305,IS
