Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,EURGBP,Buy,05.07.2021 02:00:00,0.85735,0.1,05.07.2021 03:19:40,0.85768,1h 19m,4.06,4.06,-0.5,4.06,4.06,3.3,3.3,0.04,0.04,tp 0.85768,IS
4,EURGBP,Buy,06.07.2021 02:00:00,0.85677,0.1,06.07.2021 06:44:40,0.85499,4h 44m,-25.23,-21.17,-0.5,-25.23,-21.17,-17.8,-14.5,-0.25,-0.21,sl 0.85499,IS
6,EURGBP,Sell,07.07.2021 12:00:00,0.85808,0.1,07.07.2021 14:13:00,0.85496,2h 13m,42.64,21.47,-0.5,42.64,21.47,31.2,16.7,0.43,0.22,tp 0.85496,IS
8,EURGBP,Buy,08.07.2021 02:00:00,0.85469,0.1,08.07.2021 03:58:40,0.85501,1h 58m,3.91,25.38,-0.5,3.91,25.38,3.2,19.9,0.04,0.25,tp 0.85501,IS
10,EURGBP,Sell,09.07.2021 03:45:00,0.85884,0.1,09.07.2021 20:58:40,0.85577,17h 13m,42.11,67.49,-0.5,42.11,67.49,30.7,50.6,0.42,0.67,tp 0.85577,IS
12,EURGBP,Buy,12.07.2021 02:00:00,0.85491,0.1,12.07.2021 10:33:40,0.85527,8h 33m,4.5,71.99,-0.5,4.5,71.99,3.6,54.2,0.04,0.72,tp 0.85527,IS
14,EURGBP,Buy,13.07.2021 02:00:00,0.85486,0.1,13.07.2021 11:25:40,0.85518,9h 25m,3.94,75.93,-0.5,3.94,75.93,3.2,57.4,0.04,0.76,tp 0.85518,IS
16,EURGBP,Buy,14.07.2021 02:00:00,0.85281,0.1,14.07.2021 11:36:40,0.851,9h 36m,-25.59,50.34,-0.5,-25.59,50.34,-18.1,39.3,-0.25,0.5,sl 0.85100,IS
18,EURGBP,Sell,15.07.2021 11:00:00,0.85661,0.1,15.07.2021 13:08:20,0.85331,2h 8m,45.3,95.64,-0.5,45.3,95.64,33,72.3,0.45,0.96,tp 0.85331,IS
20,EURGBP,Buy,16.07.2021 02:00:00,0.85469,0.1,16.07.2021 09:51:40,0.85508,7h 51m,4.89,100.53,-0.5,4.89,100.53,3.9,76.2,0.05,1,tp 0.85508,IS
22,EURGBP,Sell,19.07.2021 02:15:30,0.85816,0.1,19.07.2021 23:45:00,0.86346,21h 29m,-72.97,27.56,-0.5,-72.97,27.56,-53,23.2,-0.72,0.28,Strategy_2_36_141,IS
24,EURGBP,Sell,20.07.2021 07:30:00,0.86275,0.1,20.07.2021 23:45:00,0.86466,16h 15m,-26.52,1.04,-0.5,-26.52,1.04,-19.1,4.1,-0.26,0.02,Strategy_2_36_141,IS
26,EURGBP,Sell,21.07.2021 07:45:00,0.86453,0.1,21.07.2021 17:16:00,0.86189,9h 31m,35.61,36.65,-0.5,35.61,36.65,26.4,30.5,0.36,0.37,tp 0.86189,IS
28,EURGBP,Buy,22.07.2021 02:00:00,0.85986,0.1,22.07.2021 03:13:40,0.86017,1h 13m,3.75,40.4,-0.5,3.75,40.4,3.1,33.6,0.04,0.41,tp 0.86017,IS
30,EURGBP,Buy,23.07.2021 02:00:00,0.85552,0.1,23.07.2021 09:27:40,0.85591,7h 27m,4.87,45.27,-0.5,4.87,45.27,3.9,37.5,0.05,0.46,tp 0.85591,IS
32,EURGBP,Buy,26.07.2021 05:30:00,0.85665,0.1,26.07.2021 09:10:20,0.85699,3h 40m,4.17,49.44,-0.5,4.17,49.44,3.4,40.9,0.04,0.5,tp 0.85699,IS
34,EURGBP,Buy,27.07.2021 02:00:00,0.85386,0.1,27.07.2021 03:34:40,0.85421,1h 34m,4.34,53.78,-0.5,4.34,53.78,3.5,44.4,0.04,0.54,tp 0.85421,IS
36,EURGBP,Buy,28.07.2021 02:00:00,0.85138,0.1,28.07.2021 05:04:20,0.85173,3h 4m,4.36,58.14,-0.5,4.36,58.14,3.5,47.9,0.04,0.59,tp 0.85173,IS
38,EURGBP,Buy,29.07.2021 13:00:00,0.85163,0.1,29.07.2021 23:45:00,0.85127,10h 45m,-5.53,52.61,-0.5,-5.53,52.61,-3.6,44.3,-0.05,0.53,Strategy_2_36_141,IS
