Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,EURUSD,Buy,06.07.2021 00:15:00,1.18654,0.1,06.07.2021 06:28:40,1.18747,6h 13m,8.8,8.8,-0.5,8.8,8.8,9.3,9.3,0.09,0.09,tp 1.18747,IS
4,EURUSD,Buy,07.07.2021 10:15:00,1.18237,0.1,07.07.2021 17:08:40,1.17987,6h 53m,-25.5,-16.7,-0.5,-25.5,-16.7,-25,-15.7,-0.25,-0.17,sl 1.17987,IS
6,EURUSD,Buy,09.07.2021 08:00:00,1.18369,0.1,09.07.2021 12:54:40,1.1849,4h 54m,11.6,-5.1,-0.5,11.6,-5.1,12.1,-3.6,0.12,-0.05,tp 1.18490,IS
8,EURUSD,Buy,12.07.2021 13:00:00,1.18578,0.1,12.07.2021 23:45:00,1.18595,10h 45m,1.2,-3.9,-0.5,1.2,-3.9,1.7,-1.9,0.01,-0.04,Strategy 5.6.167,IS
10,EURUSD,Buy,13.07.2021 09:00:00,1.1862,0.1,13.07.2021 11:03:40,1.18442,2h 3m,-18.3,-22.2,-0.5,-18.3,-22.2,-17.8,-19.7,-0.18,-0.22,sl 1.18442,IS
12,EURUSD,Buy,16.07.2021 04:45:00,1.18111,0.1,16.07.2021 12:45:40,1.18217,8h 0m,10.1,-12.1,-0.5,10.1,-12.1,10.6,-9.1,0.1,-0.12,tp 1.18217,IS
14,EURUSD,Buy,19.07.2021 04:00:00,1.18072,0.1,19.07.2021 10:08:20,1.17887,6h 8m,-19,-31.1,-0.5,-19,-31.1,-18.5,-27.6,-0.19,-0.31,sl 1.17887,IS
16,EURUSD,Buy,20.07.2021 02:00:00,1.17992,0.1,20.07.2021 09:49:40,1.17766,7h 49m,-23.1,-54.2,-0.5,-23.1,-54.2,-22.6,-50.2,-0.23,-0.54,sl 1.17766,IS
18,EURUSD,Buy,21.07.2021 04:15:00,1.17809,0.1,21.07.2021 09:20:40,1.17619,5h 5m,-19.5,-73.7,-0.5,-19.5,-73.7,-19,-69.2,-0.2,-0.74,sl 1.17619,IS
20,EURUSD,Buy,23.07.2021 09:00:00,1.17694,0.1,23.07.2021 11:09:40,1.17798,2h 9m,9.9,-63.8,-0.5,9.9,-63.8,10.4,-58.8,0.1,-0.64,tp 1.17798,IS
22,EURUSD,Buy,26.07.2021 03:30:00,1.17731,0.1,26.07.2021 08:48:40,1.17833,5h 18m,9.7,-54.1,-0.5,9.7,-54.1,10.2,-48.6,0.1,-0.54,tp 1.17833,IS
24,EURUSD,Buy,27.07.2021 09:15:00,1.17989,0.1,27.07.2021 10:06:40,1.17833,51m 40s,-16.1,-70.2,-0.5,-16.1,-70.2,-15.6,-64.2,-0.16,-0.7,sl 1.17833,IS
26,EURUSD,Buy,28.07.2021 09:45:00,1.18162,0.1,28.07.2021 11:57:40,1.18271,2h 12m,10.4,-59.8,-0.5,10.4,-59.8,10.9,-53.3,0.1,-0.6,tp 1.18271,IS
28,EURUSD,Buy,30.07.2021 04:00:00,1.18869,0.1,30.07.2021 11:06:40,1.1897,7h 6m,9.6,-50.2,-0.5,9.6,-50.2,10.1,-43.2,0.1,-0.5,tp 1.18970,IS
30,EURUSD,Buy,02.08.2021 09:45:00,1.18722,0.1,02.08.2021 09:58:20,1.18836,13m 20s,10.9,-39.3,-0.5,10.9,-39.3,11.4,-31.8,0.11,-0.39,tp 1.18836,IS
32,EURUSD,Buy,03.08.2021 16:30:00,1.18804,0.1,03.08.2021 18:23:40,1.18545,1h 53m,-26.4,-65.7,-0.5,-26.4,-65.7,-25.9,-57.7,-0.27,-0.66,sl 1.18545,IS
34,EURUSD,Buy,04.08.2021 11:15:00,1.18653,0.1,04.08.2021 15:38:40,1.18799,4h 23m,14.1,-51.6,-0.5,14.1,-51.6,14.6,-43.1,0.14,-0.52,tp 1.18799,IS
36,EURUSD,Buy,06.08.2021 03:30:00,1.18327,0.1,06.08.2021 11:23:40,1.18167,7h 53m,-16.5,-68.1,-0.5,-16.5,-68.1,-16,-59.1,-0.17,-0.68,sl 1.18167,IS
38,EURUSD,Buy,13.08.2021 08:15:30,1.17381,0.1,13.08.2021 12:35:40,1.1745,4h 20m,6.4,-61.7,-0.5,6.4,-61.7,6.9,-52.2,0.06,-0.62,tp 1.17450,IS
40,EURUSD,Buy,17.08.2021 04:45:00,1.17775,0.1,17.08.2021 09:28:40,1.17643,4h 43m,-13.7,-75.4,-0.5,-13.7,-75.4,-13.2,-65.4,-0.14,-0.75,sl 1.17643,IS
42,EURUSD,Buy,20.08.2021 02:45:00,1.16809,0.1,20.08.2021 15:20:40,1.16655,12h 35m,-15.9,-91.3,-0.5,-15.9,-91.3,-15.4,-80.8,-0.16,-0.91,sl 1.16655,IS
44,EURUSD,Buy,24.08.2021 12:00:00,1.17335,0.1,24.08.2021 15:42:40,1.17464,3h 42m,12.4,-78.9,-0.5,12.4,-78.9,12.9,-67.9,0.13,-0.79,tp 1.17464,IS
46,EURUSD,Buy,25.08.2021 10:00:00,1.17381,0.1,25.08.2021 11:18:40,1.17482,1h 18m,9.6,-69.3,-0.5,9.6,-69.3,10.1,-57.8,0.1,-0.69,tp 1.17482,IS
48,EURUSD,Buy,27.08.2021 03:30:00,1.1753,0.1,27.08.2021 07:39:20,1.17628,4h 9m,9.3,-60,-0.5,9.3,-60,9.8,-48,0.09,-0.6,tp 1.17628,IS
50,EURUSD,Buy,30.08.2021 08:45:00,1.18071,0.1,30.08.2021 14:18:40,1.17918,5h 33m,-15.8,-75.8,-0.5,-15.8,-75.8,-15.3,-63.3,-0.16,-0.76,sl 1.17918,IS
52,EURUSD,Buy,31.08.2021 12:00:00,1.18253,0.1,31.08.2021 13:46:20,1.18371,1h 46m,11.3,-64.5,-0.5,11.3,-64.5,11.8,-51.5,0.11,-0.64,tp 1.18371,IS
54,EURUSD,Buy,01.09.2021 03:30:00,1.18116,0.1,01.09.2021 09:20:20,1.17942,5h 50m,-17.9,-82.4,-0.5,-17.9,-82.4,-17.4,-68.9,-0.18,-0.82,sl 1.17942,IS
56,EURUSD,Buy,06.09.2021 10:30:00,1.18678,0.1,06.09.2021 23:45:00,1.18691,13h 15m,0.8,-81.6,-0.5,0.8,-81.6,1.3,-67.6,0.01,-0.82,Strategy 5.6.167,IS
58,EURUSD,Buy,07.09.2021 08:00:00,1.18804,0.1,07.09.2021 09:27:40,1.18691,1h 27m,-11.8,-93.4,-0.5,-11.8,-93.4,-11.3,-78.9,-0.12,-0.94,sl 1.18691,IS
60,EURUSD,Buy,08.09.2021 08:45:00,1.18415,0.1,08.09.2021 11:01:40,1.18274,2h 16m,-14.6,-108,-0.5,-14.6,-108,-14.1,-93,-0.15,-1.08,sl 1.18274,IS
62,EURUSD,Buy,10.09.2021 04:15:00,1.18267,0.1,10.09.2021 10:16:40,1.18364,6h 1m,9.2,-98.8,-0.5,9.2,-98.8,9.7,-83.3,0.09,-0.99,tp 1.18364,IS
64,EURUSD,Buy,13.09.2021 01:30:00,1.18146,0.1,13.09.2021 07:48:40,1.17969,6h 18m,-18.2,-117,-0.5,-18.2,-117,-17.7,-101,-0.18,-1.17,sl 1.17969,IS
66,EURUSD,Buy,14.09.2021 09:15:00,1.18132,0.1,14.09.2021 10:13:40,1.18226,58m 40s,8.9,-108.1,-0.5,8.9,-108.1,9.4,-91.6,0.09,-1.08,tp 1.18226,IS
68,EURUSD,Buy,15.09.2021 08:30:00,1.18067,0.1,15.09.2021 10:35:20,1.18163,2h 5m,9.1,-99,-0.5,9.1,-99,9.6,-82,0.09,-0.99,tp 1.18163,IS
70,EURUSD,Buy,17.09.2021 16:00:00,1.17787,0.1,17.09.2021 16:52:40,1.17518,52m 40s,-27.4,-126.4,-0.5,-27.4,-126.4,-26.9,-108.9,-0.28,-1.27,sl 1.17518,IS
72,EURUSD,Buy,21.09.2021 10:45:00,1.1728,0.1,21.09.2021 14:39:40,1.17403,3h 54m,11.8,-114.6,-0.5,11.8,-114.6,12.3,-96.6,0.12,-1.15,tp 1.17403,IS
74,EURUSD,Buy,22.09.2021 03:45:00,1.17239,0.1,22.09.2021 10:31:40,1.17338,6h 46m,9.4,-105.2,-0.5,9.4,-105.2,9.9,-86.7,0.1,-1.05,tp 1.17338,IS
76,EURUSD,Buy,24.09.2021 05:00:00,1.1744,0.1,24.09.2021 14:15:40,1.17261,9h 15m,-18.4,-123.6,-0.5,-18.4,-123.6,-17.9,-104.6,-0.19,-1.24,sl 1.17261,IS
78,EURUSD,Buy,27.09.2021 09:30:00,1.17194,0.1,27.09.2021 10:45:40,1.1702,1h 15m,-17.9,-141.5,-0.5,-17.9,-141.5,-17.4,-122,-0.18,-1.42,sl 1.17020,IS
80,EURUSD,Buy,29.09.2021 04:00:00,1.16862,0.1,29.09.2021 10:06:40,1.16663,6h 6m,-20.4,-161.9,-0.5,-20.4,-161.9,-19.9,-141.9,-0.21,-1.63,sl 1.16663,IS
82,EURUSD,Buy,04.10.2021 04:45:00,1.15983,0.1,04.10.2021 11:00:40,1.16114,6h 15m,12.6,-149.3,-0.5,12.6,-149.3,13.1,-128.8,0.13,-1.5,tp 1.16114,IS
84,EURUSD,Buy,05.10.2021 03:45:00,1.16135,0.1,05.10.2021 07:46:20,1.15956,4h 1m,-18.4,-167.7,-0.5,-18.4,-167.7,-17.9,-146.7,-0.19,-1.69,sl 1.15956,IS
86,EURUSD,Buy,06.10.2021 07:15:00,1.15888,0.1,06.10.2021 10:10:40,1.15725,2h 55m,-16.8,-184.5,-0.5,-16.8,-184.5,-16.3,-163,-0.17,-1.86,sl 1.15725,IS
88,EURUSD,Buy,08.10.2021 08:00:00,1.15483,0.1,08.10.2021 12:06:40,1.1558,4h 6m,9.2,-175.3,-0.5,9.2,-175.3,9.7,-153.3,0.09,-1.76,tp 1.15580,IS
