Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,EURUSD,Sell,05.07.2021 02:02:40,1.18607,0.1,05.07.2021 23:45:00,1.18629,21h 42m,-2.7,-2.7,-0.5,-2.7,-2.7,-2.2,-2.2,-0.03,-0.03,Strategy_2_34_129,IS
4,EURUSD,Sell,06.07.2021 03:10:40,1.18659,0.1,06.07.2021 08:56:40,1.18851,5h 46m,-19.7,-22.4,-0.5,-19.7,-22.4,-19.2,-21.4,-0.2,-0.22,sl 1.18851,IS
6,EURUSD,Sell,07.07.2021 03:04:20,1.18228,0.1,07.07.2021 16:42:40,1.1806,13h 38m,16.3,-6.1,-0.5,16.3,-6.1,16.8,-4.6,0.16,-0.06,tp 1.18060,IS
8,EURUSD,Sell,09.07.2021 01:00:40,1.18465,0.1,09.07.2021 17:50:40,1.18781,16h 50m,-32.1,-38.2,-0.5,-32.1,-38.2,-31.6,-36.2,-0.32,-0.38,sl 1.18781,IS
10,EURUSD,Sell,13.07.2021 02:32:40,1.18608,0.1,13.07.2021 11:05:40,1.18474,8h 33m,12.9,-25.3,-0.5,12.9,-25.3,13.4,-22.8,0.13,-0.25,tp 1.18474,IS
12,EURUSD,Sell,14.07.2021 05:20:20,1.17806,0.1,14.07.2021 14:03:40,1.18069,8h 43m,-26.8,-52.1,-0.5,-26.8,-52.1,-26.3,-49.1,-0.27,-0.52,sl 1.18069,IS
14,EURUSD,Sell,15.07.2021 08:01:40,1.18322,0.1,15.07.2021 11:37:40,1.18526,3h 36m,-20.9,-73,-0.5,-20.9,-73,-20.4,-69.5,-0.21,-0.73,sl 1.18526,IS
16,EURUSD,Sell,16.07.2021 06:56:40,1.18113,0.1,16.07.2021 14:54:20,1.17979,7h 57m,12.9,-60.1,-0.5,12.9,-60.1,13.4,-56.1,0.13,-0.6,tp 1.17979,IS
18,EURUSD,Sell,19.07.2021 01:57:30,1.18098,0.1,19.07.2021 10:07:40,1.17941,8h 10m,15.2,-44.9,-0.5,15.2,-44.9,15.7,-40.4,0.15,-0.45,tp 1.17941,IS
20,EURUSD,Sell,21.07.2021 02:53:40,1.17804,0.1,21.07.2021 10:06:40,1.17646,7h 13m,15.3,-29.6,-0.5,15.3,-29.6,15.8,-24.6,0.15,-0.29,tp 1.17646,IS
22,EURUSD,Sell,22.07.2021 06:29:40,1.17959,0.1,22.07.2021 15:03:40,1.17819,8h 34m,13.5,-16.1,-0.5,13.5,-16.1,14,-10.6,0.14,-0.16,tp 1.17819,IS
24,EURUSD,Sell,23.07.2021 02:13:40,1.17735,0.1,23.07.2021 23:45:00,1.17749,21h 31m,-1.9,-18,-0.5,-1.9,-18,-1.4,-12,-0.02,-0.18,Strategy_2_34_129,IS
26,EURUSD,Sell,26.07.2021 01:00:40,1.17715,0.1,26.07.2021 10:24:40,1.17968,9h 24m,-25.8,-43.8,-0.5,-25.8,-43.8,-25.3,-37.3,-0.26,-0.44,sl 1.17968,IS
28,EURUSD,Sell,27.07.2021 04:30:40,1.18065,0.1,27.07.2021 09:58:40,1.17934,5h 28m,12.6,-31.2,-0.5,12.6,-31.2,13.1,-24.2,0.13,-0.31,tp 1.17934,IS
30,EURUSD,Sell,28.07.2021 04:41:40,1.18225,0.1,28.07.2021 11:16:40,1.18084,6h 35m,13.6,-17.6,-0.5,13.6,-17.6,14.1,-10.1,0.14,-0.17,tp 1.18084,IS
32,EURUSD,Sell,29.07.2021 10:00:40,1.18532,0.1,29.07.2021 11:38:40,1.18806,1h 38m,-27.9,-45.5,-0.5,-27.9,-45.5,-27.4,-37.5,-0.28,-0.45,sl 1.18806,IS
34,EURUSD,Sell,02.08.2021 02:37:40,1.18639,0.1,02.08.2021 10:03:40,1.18904,7h 26m,-27,-72.5,-0.5,-27,-72.5,-26.5,-64,-0.27,-0.72,sl 1.18904,IS
36,EURUSD,Sell,03.08.2021 01:30:20,1.18741,0.1,03.08.2021 18:23:40,1.18588,16h 53m,14.8,-57.7,-0.5,14.8,-57.7,15.3,-48.7,0.15,-0.58,tp 1.18588,IS
38,EURUSD,Sell,04.08.2021 03:15:40,1.1866,0.1,04.08.2021 11:34:40,1.18525,8h 19m,13,-44.7,-0.5,13,-44.7,13.5,-35.2,0.13,-0.44,tp 1.18525,IS
40,EURUSD,Sell,06.08.2021 09:10:20,1.1827,0.1,06.08.2021 11:27:40,1.18166,2h 17m,9.9,-34.8,-0.5,9.9,-34.8,10.4,-24.8,0.1,-0.35,tp 1.18166,IS
42,EURUSD,Sell,09.08.2021 10:00:40,1.17591,0.1,09.08.2021 20:32:40,1.17448,10h 32m,13.8,-21,-0.5,13.8,-21,14.3,-10.5,0.14,-0.21,tp 1.17448,IS
44,EURUSD,Sell,10.08.2021 05:53:40,1.17382,0.1,10.08.2021 13:00:40,1.17273,7h 7m,10.4,-10.6,-0.5,10.4,-10.6,10.9,0.4,0.1,-0.1,tp 1.17273,IS
46,EURUSD,Sell,11.08.2021 01:00:40,1.17204,0.1,11.08.2021 15:31:40,1.17399,14h 31m,-20,-30.6,-0.5,-20,-30.6,-19.5,-19.1,-0.2,-0.3,sl 1.17399,IS
48,EURUSD,Sell,12.08.2021 02:33:30,1.17414,0.1,12.08.2021 23:45:00,1.17398,21h 11m,1.1,-29.5,-0.5,1.1,-29.5,1.6,-17.5,0.01,-0.29,Strategy_2_34_129,IS
50,EURUSD,Sell,13.08.2021 03:33:40,1.17354,0.1,13.08.2021 12:59:40,1.17542,9h 26m,-19.3,-48.8,-0.5,-19.3,-48.8,-18.8,-36.3,-0.19,-0.49,sl 1.17542,IS
52,EURUSD,Sell,16.08.2021 04:11:40,1.17969,0.1,16.08.2021 10:58:40,1.17851,6h 47m,11.3,-37.5,-0.5,11.3,-37.5,11.8,-24.5,0.11,-0.37,tp 1.17851,IS
54,EURUSD,Sell,17.08.2021 01:55:59,1.17787,0.1,17.08.2021 09:41:40,1.17672,7h 45m,11,-26.5,-0.5,11,-26.5,11.5,-13,0.11,-0.26,tp 1.17672,IS
56,EURUSD,Sell,18.08.2021 03:56:20,1.17114,0.1,18.08.2021 10:28:40,1.17341,6h 32m,-23.2,-49.7,-0.5,-23.2,-49.7,-22.7,-35.7,-0.23,-0.49,sl 1.17341,IS
58,EURUSD,Sell,20.08.2021 03:24:40,1.16809,0.1,20.08.2021 19:29:40,1.17039,16h 5m,-23.5,-73.2,-0.5,-23.5,-73.2,-23,-58.7,-0.24,-0.73,sl 1.17039,IS
60,EURUSD,Sell,23.08.2021 02:59:40,1.16971,0.1,23.08.2021 04:53:40,1.17222,1h 54m,-25.6,-98.8,-0.5,-25.6,-98.8,-25.1,-83.8,-0.26,-0.99,sl 1.17222,IS
62,EURUSD,Sell,24.08.2021 02:49:40,1.17449,0.1,24.08.2021 11:54:20,1.17326,9h 4m,11.8,-87,-0.5,11.8,-87,12.3,-71.5,0.12,-0.87,tp 1.17326,IS
