Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,GBPJPY,Buy,05.07.2021 11:30:00,153.742,0.1,05.07.2021 23:45:00,153.628,12h 15m,-10.77,-10.77,-0.5,-10.77,-10.77,-11.4,-11.4,-0.11,-0.11,Strategy_5_35_116,IS
4,GBPJPY,Buy,06.07.2021 03:45:00,153.583,0.1,06.07.2021 06:13:40,153.912,2h 28m,29.18,18.41,-0.5,29.18,18.41,32.9,21.5,0.29,0.18,tp 153.912,IS
6,GBPJPY,Buy,08.07.2021 03:15:00,152.599,0.1,08.07.2021 10:03:40,151.649,6h 48m,-86.72,-68.31,-0.5,-86.72,-68.31,-95,-73.5,-0.87,-0.68,sl 151.649,IS
8,GBPJPY,Buy,13.07.2021 11:00:00,153.161,0.1,13.07.2021 23:45:00,152.837,12h 45m,-29.78,-98.09,-0.5,-29.78,-98.09,-32.4,-105.9,-0.3,-0.98,Strategy_5_35_116,IS
10,GBPJPY,Buy,15.07.2021 14:00:00,152.706,0.1,15.07.2021 20:43:40,151.756,6h 43m,-86.93,-185.02,-0.5,-86.93,-185.02,-95,-200.9,-0.88,-1.86,sl 151.756,IS
12,GBPJPY,Buy,16.07.2021 14:45:00,152.382,0.1,16.07.2021 23:14:40,151.432,8h 29m,-86.83,-271.85,-0.5,-86.83,-271.85,-95,-295.9,-0.88,-2.74,sl 151.432,IS
14,GBPJPY,Buy,21.07.2021 05:30:00,149.534,0.1,21.07.2021 11:24:40,150.01,5h 54m,42.72,-229.13,-0.5,42.72,-229.13,47.6,-248.3,0.44,-2.3,tp 150.010,IS
16,GBPJPY,Buy,26.07.2021 09:30:00,151.641,0.1,26.07.2021 12:15:40,152.044,2h 45m,36.04,-193.09,-0.5,36.04,-193.09,40.3,-208,0.37,-1.94,tp 152.044,IS
18,GBPJPY,Buy,27.07.2021 10:45:00,151.761,0.1,27.07.2021 17:55:40,152.294,7h 10m,48,-145.09,-0.5,48,-145.09,53.3,-154.7,0.49,-1.45,tp 152.294,IS
20,GBPJPY,Buy,28.07.2021 05:00:00,152.511,0.1,28.07.2021 21:40:40,152.93,16h 40m,37.56,-107.53,-0.5,37.56,-107.53,41.9,-112.8,0.38,-1.07,tp 152.930,IS
22,GBPJPY,Buy,30.07.2021 03:15:00,152.91,0.1,30.07.2021 23:45:00,152.539,20h 30m,-34.32,-141.85,-0.5,-34.32,-141.85,-37.1,-149.9,-0.35,-1.41,Strategy_5_35_116,IS
24,GBPJPY,Buy,04.08.2021 02:00:00,151.715,0.1,04.08.2021 09:31:40,151.992,7h 31m,24.89,-116.96,-0.5,24.89,-116.96,27.7,-122.2,0.25,-1.16,tp 151.992,IS
26,GBPJPY,Buy,09.08.2021 02:15:00,152.85,0.1,09.08.2021 23:45:00,152.81,21h 30m,-4.12,-121.08,-0.5,-4.12,-121.08,-4,-126.2,-0.04,-1.2,Strategy_5_35_116,IS
28,GBPJPY,Buy,11.08.2021 17:30:00,153.25,0.1,11.08.2021 23:45:00,153.122,6h 15m,-12.09,-133.17,-0.5,-12.09,-133.17,-12.8,-139,-0.12,-1.32,Strategy_5_35_116,IS
30,GBPJPY,Buy,12.08.2021 12:15:00,153.04,0.1,12.08.2021 23:45:00,152.466,11h 30m,-52.48,-185.65,-0.5,-52.48,-185.65,-57.4,-196.4,-0.53,-1.86,Strategy_5_35_116,IS
32,GBPJPY,Buy,18.08.2021 15:30:00,151.201,0.1,18.08.2021 23:45:00,150.998,8h 15m,-18.99,-204.64,-0.5,-18.99,-204.64,-20.3,-216.7,-0.19,-2.05,Strategy_5_35_116,IS
34,GBPJPY,Buy,19.08.2021 10:30:00,150.737,0.1,19.08.2021 12:01:40,149.787,1h 31m,-87.2,-291.84,-0.5,-87.2,-291.84,-95,-311.7,-0.89,-2.94,sl 149.787,IS
36,GBPJPY,Buy,25.08.2021 14:30:00,150.902,0.1,25.08.2021 20:43:40,151.35,6h 13m,40.19,-251.65,-0.5,40.19,-251.65,44.8,-266.9,0.41,-2.53,tp 151.350,IS
38,GBPJPY,Buy,27.08.2021 15:45:00,151.271,0.1,27.08.2021 23:45:00,151.139,8h 0m,-12.52,-264.17,-0.5,-12.52,-264.17,-13.2,-280.1,-0.13,-2.65,Strategy_5_35_116,IS
40,GBPJPY,Buy,31.08.2021 17:30:00,151.385,0.1,31.08.2021 23:45:00,151.282,6h 15m,-9.86,-274.03,-0.5,-9.86,-274.03,-10.3,-290.4,-0.1,-2.75,Strategy_5_35_116,IS
42,GBPJPY,Buy,02.09.2021 16:30:00,151.86,0.1,02.09.2021 23:45:00,152.102,7h 15m,21.51,-252.52,-0.5,21.51,-252.52,24.2,-266.2,0.22,-2.53,Strategy_5_35_116,IS
44,GBPJPY,Buy,06.09.2021 02:00:00,152.152,0.1,06.09.2021 23:45:00,151.963,21h 45m,-17.71,-270.23,-0.5,-17.71,-270.23,-18.9,-285.1,-0.18,-2.72,Strategy_5_35_116,IS
46,GBPJPY,Buy,07.09.2021 06:00:00,152.018,0.1,07.09.2021 23:45:00,152.03,17h 45m,0.59,-269.64,-0.5,0.59,-269.64,1.2,-283.9,0.01,-2.71,Strategy_5_35_116,IS
48,GBPJPY,Buy,08.09.2021 09:30:00,152.095,0.1,08.09.2021 23:45:00,151.867,14h 15m,-21.18,-290.82,-0.5,-21.18,-290.82,-22.8,-306.7,-0.22,-2.93,Strategy_5_35_116,IS
50,GBPJPY,Buy,10.09.2021 04:30:00,151.831,0.1,10.09.2021 06:53:40,152.143,2h 23m,27.91,-262.91,-0.5,27.91,-262.91,31.2,-275.5,0.29,-2.64,tp 152.143,IS
52,GBPJPY,Buy,13.09.2021 14:30:00,152.144,0.1,13.09.2021 23:45:00,152.242,9h 15m,8.41,-254.5,-0.5,8.41,-254.5,9.8,-265.7,0.09,-2.55,Strategy_5_35_116,IS
54,GBPJPY,Buy,14.09.2021 17:45:00,152.027,0.1,14.09.2021 23:45:00,151.419,6h 0m,-55.93,-310.43,-0.5,-55.93,-310.43,-60.8,-326.5,-0.57,-3.13,Strategy_5_35_116,IS
56,GBPJPY,Buy,16.09.2021 04:15:00,151.41,0.1,16.09.2021 23:45:00,151.365,19h 30m,-4.6,-315.03,-0.5,-4.6,-315.03,-4.5,-331,-0.05,-3.17,Strategy_5_35_116,IS
58,GBPJPY,Buy,22.09.2021 04:00:00,149.194,0.1,22.09.2021 04:12:20,149.618,12m 20s,38.25,-276.78,-0.5,38.25,-276.78,42.4,-288.6,0.39,-2.78,tp 149.618,IS
