Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,GBPUSD,Buy,12.07.2021 06:15:00,1.38928,0.1,12.07.2021 18:17:40,1.38794,12h 2m,-13.9,-13.9,-0.5,-13.9,-13.9,-13.4,-13.4,-0.14,-0.14,sl 1.38794,IS
4,GBPUSD,Buy,13.07.2021 10:00:00,1.38798,0.1,13.07.2021 23:45:00,1.38138,13h 45m,-66.5,-80.4,-0.5,-66.5,-80.4,-66,-79.4,-0.67,-0.8,Strategy 0.13205,IS
6,GBPUSD,Buy,27.07.2021 09:15:00,1.38129,0.1,27.07.2021 10:01:40,1.38073,46m 40s,-6.1,-86.5,-0.5,-6.1,-86.5,-5.6,-85,-0.06,-0.87,sl 1.38073,IS
8,GBPUSD,Buy,28.07.2021 00:15:00,1.38841,0.1,28.07.2021 03:54:40,1.3875,3h 39m,-9.6,-96.1,-0.5,-9.6,-96.1,-9.1,-94.1,-0.1,-0.96,sl 1.38750,IS
10,GBPUSD,Buy,29.07.2021 03:30:00,1.39064,0.1,29.07.2021 08:26:40,1.39322,4h 56m,25.3,-70.8,-0.5,25.3,-70.8,25.8,-68.3,0.26,-0.71,tp 1.39322,IS
12,GBPUSD,Buy,30.07.2021 00:15:00,1.39625,0.1,30.07.2021 03:01:40,1.39599,2h 46m,-3.1,-73.9,-0.5,-3.1,-73.9,-2.6,-70.9,-0.03,-0.74,sl 1.39599,IS
14,GBPUSD,Buy,02.08.2021 05:15:00,1.3889,0.1,02.08.2021 09:19:40,1.39122,4h 4m,22.7,-51.2,-0.5,22.7,-51.2,23.2,-47.7,0.23,-0.51,tp 1.39122,IS
16,GBPUSD,Buy,03.08.2021 00:15:00,1.3886,0.1,03.08.2021 04:31:20,1.38873,4h 16m,0.8,-50.4,-0.5,0.8,-50.4,1.3,-46.4,0.01,-0.5,sl 1.38873,IS
18,GBPUSD,Buy,04.08.2021 04:00:00,1.39083,0.1,04.08.2021 05:50:40,1.39271,1h 50m,18.3,-32.1,-0.5,18.3,-32.1,18.8,-27.6,0.18,-0.32,tp 1.39271,IS
20,GBPUSD,Buy,05.08.2021 05:45:00,1.38865,0.1,05.08.2021 09:03:40,1.38881,3h 18m,1.1,-31,-0.5,1.1,-31,1.6,-26,0.01,-0.31,sl 1.38881,IS
