Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,GBPUSD,Buy,06.07.2021 00:15:00,1.385,0.1,06.07.2021 09:07:20,1.38938,8h 52m,43.3,43.3,-0.5,43.3,43.3,43.8,43.8,0.43,0.43,tp 1.38938,IS
4,GBPUSD,Buy,07.07.2021 17:15:00,1.37858,0.1,07.07.2021 23:45:00,1.38014,6h 30m,15.1,58.4,-0.5,15.1,58.4,15.6,59.4,0.15,0.58,Strategy 3.3.167,IS
6,GBPUSD,Buy,08.07.2021 03:45:00,1.37957,0.1,08.07.2021 09:54:40,1.37673,6h 9m,-28.9,29.5,-0.5,-28.9,29.5,-28.4,31,-0.29,0.3,sl 1.37673,IS
8,GBPUSD,Buy,09.07.2021 04:45:00,1.37794,0.1,09.07.2021 15:19:40,1.38328,10h 34m,52.9,82.4,-0.5,52.9,82.4,53.4,84.4,0.53,0.82,tp 1.38328,IS
10,GBPUSD,Buy,13.07.2021 11:00:00,1.38685,0.1,13.07.2021 15:30:40,1.38301,4h 30m,-38.9,43.5,-0.5,-38.9,43.5,-38.4,46,-0.39,0.44,sl 1.38301,IS
12,GBPUSD,Buy,15.07.2021 03:30:00,1.38527,0.1,15.07.2021 05:12:20,1.38227,1h 42m,-30.5,13,-0.5,-30.5,13,-30,16,-0.3,0.13,sl 1.38227,IS
14,GBPUSD,Buy,16.07.2021 09:15:00,1.38255,0.1,16.07.2021 10:31:40,1.37976,1h 16m,-28.4,-15.4,-0.5,-28.4,-15.4,-27.9,-11.9,-0.28,-0.15,sl 1.37976,IS
16,GBPUSD,Buy,19.07.2021 03:15:00,1.37622,0.1,19.07.2021 10:05:40,1.37324,6h 50m,-30.3,-45.7,-0.5,-30.3,-45.7,-29.8,-41.7,-0.3,-0.45,sl 1.37324,IS
18,GBPUSD,Buy,23.07.2021 05:30:00,1.37626,0.1,23.07.2021 11:24:40,1.37303,5h 54m,-32.8,-78.5,-0.5,-32.8,-78.5,-32.3,-74,-0.33,-0.78,sl 1.37303,IS
20,GBPUSD,Buy,26.07.2021 09:45:00,1.37467,0.1,26.07.2021 12:26:40,1.37872,2h 41m,40,-38.5,-0.5,40,-38.5,40.5,-33.5,0.4,-0.38,tp 1.37872,IS
