Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,NZDUSD,Sell,06.07.2021 05:00:00,0.70691,0.1,06.07.2021 17:25:40,0.70391,12h 25m,29.5,29.5,-0.5,29.5,29.5,30,30,0.29,0.29,tp 0.70391,IS
4,NZDUSD,Sell,07.07.2021 14:45:00,0.7048,0.1,07.07.2021 17:07:00,0.7018,2h 22m,29.5,59,-0.5,29.5,59,30,60,0.29,0.59,tp 0.70180,IS
6,NZDUSD,Sell,09.07.2021 11:15:00,0.69551,0.1,09.07.2021 23:45:00,0.70026,12h 30m,-48,11,-0.5,-48,11,-47.5,12.5,-0.48,0.11,Strategy 2.6.180,IS
8,NZDUSD,Sell,12.07.2021 17:00:00,0.698,0.1,12.07.2021 23:45:00,0.69852,6h 45m,-5.7,5.3,-0.5,-5.7,5.3,-5.2,7.3,-0.06,0.06,Strategy 2.6.180,IS
10,NZDUSD,Sell,14.07.2021 03:30:00,0.69521,0.1,14.07.2021 09:28:40,0.70321,5h 58m,-80.5,-75.2,-0.5,-80.5,-75.2,-80,-72.7,-0.8,-0.75,sl 0.70321,IS
12,NZDUSD,Sell,19.07.2021 16:45:00,0.69663,0.1,19.07.2021 17:20:20,0.69363,35m 20s,29.5,-45.7,-0.5,29.5,-45.7,30,-42.7,0.3,-0.45,tp 0.69363,IS
14,NZDUSD,Sell,20.07.2021 05:30:00,0.6947,0.1,20.07.2021 07:19:40,0.6917,1h 49m,29.5,-16.2,-0.5,29.5,-16.2,30,-12.7,0.3,-0.16,tp 0.69170,IS
16,NZDUSD,Sell,21.07.2021 03:00:00,0.69228,0.1,21.07.2021 23:45:00,0.69706,20h 45m,-48.3,-64.5,-0.5,-48.3,-64.5,-47.8,-60.5,-0.48,-0.64,Strategy 2.6.180,IS
18,NZDUSD,Sell,22.07.2021 16:15:00,0.69757,0.1,22.07.2021 23:45:00,0.69766,7h 30m,-1.4,-65.9,-0.5,-1.4,-65.9,-0.9,-61.4,-0.01,-0.65,Strategy 2.6.180,IS
20,NZDUSD,Sell,27.07.2021 15:00:00,0.69638,0.1,27.07.2021 23:45:00,0.69576,8h 45m,5.7,-60.2,-0.5,5.7,-60.2,6.2,-55.2,0.06,-0.6,Strategy 2.6.180,IS
22,NZDUSD,Sell,28.07.2021 09:00:00,0.69641,0.1,28.07.2021 14:23:40,0.69341,5h 23m,29.5,-30.7,-0.5,29.5,-30.7,30,-25.2,0.3,-0.3,tp 0.69341,IS
24,NZDUSD,Sell,29.07.2021 08:45:00,0.69754,0.1,29.07.2021 23:45:00,0.70163,15h 0m,-41.4,-72.1,-0.5,-41.4,-72.1,-40.9,-66.1,-0.42,-0.71,Strategy 2.6.180,IS
26,NZDUSD,Sell,02.08.2021 10:00:00,0.69722,0.1,02.08.2021 23:45:00,0.69722,13h 45m,-0.5,-72.6,-0.5,-0.5,-72.6,0,-66.1,-0.01,-0.72,Strategy 2.6.180,IS
28,NZDUSD,Sell,04.08.2021 06:00:00,0.70637,0.1,04.08.2021 23:45:00,0.7043,17h 45m,20.2,-52.4,-0.5,20.2,-52.4,20.7,-45.4,0.2,-0.52,Strategy 2.6.180,IS
30,NZDUSD,Sell,09.08.2021 08:30:00,0.70233,0.1,09.08.2021 22:45:00,0.69933,14h 15m,29.5,-22.9,-0.5,29.5,-22.9,30,-15.4,0.3,-0.22,tp 0.69933,IS
