Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,NZDUSD,Buy,12.07.2021 09:45:00,0.69759,0.1,12.07.2021 13:13:40,0.69556,3h 28m,-20.8,-20.8,-0.5,-20.8,-20.8,-20.3,-20.3,-0.21,-0.21,sl 0.69556,IS
4,NZDUSD,Buy,13.07.2021 11:15:00,0.69778,0.1,13.07.2021 15:30:40,0.69554,4h 15m,-22.9,-43.7,-0.5,-22.9,-43.7,-22.4,-42.7,-0.23,-0.44,sl 0.69554,IS
6,NZDUSD,Buy,19.07.2021 10:30:00,0.69869,0.1,19.07.2021 11:50:40,0.69648,1h 20m,-22.6,-66.3,-0.5,-22.6,-66.3,-22.1,-64.8,-0.23,-0.66,sl 0.69648,IS
8,NZDUSD,Buy,21.07.2021 09:00:00,0.69013,0.1,21.07.2021 11:43:40,0.69172,2h 43m,15.4,-50.9,-0.5,15.4,-50.9,15.9,-48.9,0.16,-0.51,tp 0.69172,IS
10,NZDUSD,Buy,22.07.2021 06:00:00,0.69579,0.1,22.07.2021 14:58:40,0.69728,8h 58m,14.4,-36.5,-0.5,14.4,-36.5,14.9,-34,0.14,-0.36,tp 0.69728,IS
12,NZDUSD,Buy,23.07.2021 07:15:00,0.69816,0.1,23.07.2021 10:45:40,0.69616,3h 30m,-20.5,-57,-0.5,-20.5,-57,-20,-54,-0.21,-0.57,sl 0.69616,IS
14,NZDUSD,Buy,26.07.2021 09:45:00,0.69674,0.1,26.07.2021 16:31:40,0.69831,6h 46m,15.2,-41.8,-0.5,15.2,-41.8,15.7,-38.3,0.15,-0.42,tp 0.69831,IS
16,NZDUSD,Buy,27.07.2021 16:45:00,0.6955,0.1,27.07.2021 23:45:00,0.69572,7h 0m,1.7,-40.1,-0.5,1.7,-40.1,2.2,-36.1,0.02,-0.4,Strategy 5.71.164,IS
18,NZDUSD,Buy,28.07.2021 10:15:00,0.69606,0.1,28.07.2021 11:15:40,0.69376,1h 0m,-23.5,-63.6,-0.5,-23.5,-63.6,-23,-59.1,-0.24,-0.64,sl 0.69376,IS
20,NZDUSD,Buy,30.07.2021 08:30:00,0.69967,0.1,30.07.2021 11:09:40,0.70125,2h 39m,15.3,-48.3,-0.5,15.3,-48.3,15.8,-43.3,0.15,-0.48,tp 0.70125,IS
22,NZDUSD,Buy,06.08.2021 15:45:00,0.70532,0.1,06.08.2021 16:47:40,0.70321,1h 2m,-21.6,-69.9,-0.5,-21.6,-69.9,-21.1,-64.4,-0.22,-0.7,sl 0.70321,IS
24,NZDUSD,Buy,09.08.2021 11:15:00,0.70042,0.1,09.08.2021 14:22:40,0.70214,3h 7m,16.7,-53.2,-0.5,16.7,-53.2,17.2,-47.2,0.17,-0.53,tp 0.70214,IS
26,NZDUSD,Buy,10.08.2021 05:00:00,0.69797,0.1,10.08.2021 13:37:40,0.69941,8h 37m,13.9,-39.3,-0.5,13.9,-39.3,14.4,-32.8,0.14,-0.39,tp 0.69941,IS
28,NZDUSD,Buy,11.08.2021 09:15:00,0.70014,0.1,11.08.2021 15:02:40,0.70117,5h 47m,9.8,-29.5,-0.5,9.8,-29.5,10.3,-22.5,0.1,-0.29,tp 0.70117,IS
30,NZDUSD,Buy,12.08.2021 08:00:00,0.7031,0.1,12.08.2021 15:30:40,0.70142,7h 30m,-17.3,-46.8,-0.5,-17.3,-46.8,-16.8,-39.3,-0.17,-0.47,sl 0.70142,IS
32,NZDUSD,Buy,13.08.2021 14:30:00,0.70009,0.1,13.08.2021 15:04:40,0.70124,34m 40s,11,-35.8,-0.5,11,-35.8,11.5,-27.8,0.11,-0.36,tp 0.70124,IS
34,NZDUSD,Buy,16.08.2021 06:00:00,0.70402,0.1,16.08.2021 06:12:40,0.70265,12m 40s,-14.2,-50,-0.5,-14.2,-50,-13.7,-41.5,-0.14,-0.5,sl 0.70265,IS
36,NZDUSD,Buy,26.08.2021 09:45:00,0.69535,0.1,26.08.2021 10:38:40,0.69673,53m 40s,13.3,-36.7,-0.5,13.3,-36.7,13.8,-27.7,0.13,-0.37,tp 0.69673,IS
38,NZDUSD,Buy,27.08.2021 16:15:00,0.69471,0.1,27.08.2021 17:00:40,0.69636,45m 40s,16,-20.7,-0.5,16,-20.7,16.5,-11.2,0.16,-0.2,tp 0.69636,IS
40,NZDUSD,Buy,01.09.2021 08:00:00,0.70444,0.1,01.09.2021 10:27:40,0.706,2h 27m,15.1,-5.6,-0.5,15.1,-5.6,15.6,4.4,0.15,-0.05,tp 0.70600,IS
42,NZDUSD,Buy,06.09.2021 08:00:00,0.71455,0.1,06.09.2021 12:49:40,0.71287,4h 49m,-17.3,-22.9,-0.5,-17.3,-22.9,-16.8,-12.4,-0.17,-0.23,sl 0.71287,IS
44,NZDUSD,Buy,07.09.2021 08:00:00,0.71327,0.1,07.09.2021 08:08:40,0.7114,8m 40s,-19.2,-42.1,-0.5,-19.2,-42.1,-18.7,-31.1,-0.19,-0.42,sl 0.71140,IS
46,NZDUSD,Buy,08.09.2021 09:15:00,0.70988,0.1,08.09.2021 11:19:40,0.70833,2h 4m,-16,-58.1,-0.5,-16,-58.1,-15.5,-46.6,-0.16,-0.58,sl 0.70833,IS
48,NZDUSD,Buy,14.09.2021 05:15:00,0.71192,0.1,14.09.2021 15:32:40,0.71327,10h 17m,13,-45.1,-0.5,13,-45.1,13.5,-33.1,0.13,-0.45,tp 0.71327,IS
50,NZDUSD,Buy,17.09.2021 05:00:00,0.70621,0.1,17.09.2021 08:00:20,0.7077,3h 0m,14.4,-30.7,-0.5,14.4,-30.7,14.9,-18.2,0.14,-0.3,tp 0.70770,IS
52,NZDUSD,Buy,20.09.2021 06:45:00,0.70192,0.1,20.09.2021 16:32:40,0.70338,9h 47m,14.1,-16.6,-0.5,14.1,-16.6,14.6,-3.6,0.14,-0.16,tp 0.70338,IS
54,NZDUSD,Buy,22.09.2021 15:30:00,0.70172,0.1,22.09.2021 21:04:40,0.70328,5h 34m,15.1,-1.5,-0.5,15.1,-1.5,15.6,12,0.15,-0.01,tp 0.70328,IS
56,NZDUSD,Buy,24.09.2021 14:15:00,0.70364,0.1,24.09.2021 15:34:40,0.70121,1h 19m,-24.8,-26.3,-0.5,-24.8,-26.3,-24.3,-12.3,-0.25,-0.26,sl 0.70121,IS
58,NZDUSD,Buy,27.09.2021 09:30:00,0.70108,0.1,27.09.2021 14:59:20,0.69912,5h 29m,-20.1,-46.4,-0.5,-20.1,-46.4,-19.6,-31.9,-0.2,-0.46,sl 0.69912,IS
60,NZDUSD,Buy,28.09.2021 09:45:00,0.70072,0.1,28.09.2021 10:10:40,0.6986,25m 40s,-21.7,-68.1,-0.5,-21.7,-68.1,-21.2,-53.1,-0.22,-0.68,sl 0.69860,IS
62,NZDUSD,Buy,29.09.2021 10:15:00,0.69458,0.1,29.09.2021 14:49:20,0.69226,4h 34m,-23.7,-91.8,-0.5,-23.7,-91.8,-23.2,-76.3,-0.24,-0.92,sl 0.69226,IS
64,NZDUSD,Buy,30.09.2021 10:15:00,0.68796,0.1,30.09.2021 17:09:40,0.68978,6h 54m,17.7,-74.1,-0.5,17.7,-74.1,18.2,-58.1,0.18,-0.74,tp 0.68978,IS
66,NZDUSD,Buy,05.10.2021 08:45:00,0.69368,0.1,05.10.2021 10:16:40,0.69503,1h 31m,13,-61.1,-0.5,13,-61.1,13.5,-44.6,0.13,-0.61,tp 0.69503,IS
68,NZDUSD,Buy,06.10.2021 05:00:00,0.69373,0.1,06.10.2021 10:04:40,0.69104,5h 4m,-27.4,-88.5,-0.5,-27.4,-88.5,-26.9,-71.5,-0.28,-0.88,sl 0.69104,IS
70,NZDUSD,Buy,07.10.2021 08:30:00,0.69128,0.1,07.10.2021 09:34:40,0.69261,1h 4m,12.8,-75.7,-0.5,12.8,-75.7,13.3,-58.2,0.13,-0.75,tp 0.69261,IS
72,NZDUSD,Buy,08.10.2021 10:00:00,0.69199,0.1,08.10.2021 15:30:40,0.69347,5h 30m,14.3,-61.4,-0.5,14.3,-61.4,14.8,-43.4,0.14,-0.61,tp 0.69347,IS
74,NZDUSD,Buy,12.10.2021 15:45:00,0.69462,0.1,12.10.2021 17:25:40,0.69239,1h 40m,-22.8,-84.2,-0.5,-22.8,-84.2,-22.3,-65.7,-0.23,-0.84,sl 0.69239,IS
76,NZDUSD,Buy,13.10.2021 15:45:00,0.6919,0.1,13.10.2021 16:30:40,0.69381,45m 40s,18.6,-65.6,-0.5,18.6,-65.6,19.1,-46.6,0.19,-0.65,tp 0.69381,IS
78,NZDUSD,Buy,19.10.2021 16:00:00,0.71471,0.1,19.10.2021 16:56:40,0.71613,56m 40s,13.7,-51.9,-0.5,13.7,-51.9,14.2,-32.4,0.14,-0.51,tp 0.71613,IS
80,NZDUSD,Buy,20.10.2021 12:15:00,0.7159,0.1,20.10.2021 15:35:40,0.71752,3h 20m,15.7,-36.2,-0.5,15.7,-36.2,16.2,-16.2,0.16,-0.36,tp 0.71752,IS
82,NZDUSD,Buy,22.10.2021 09:00:00,0.7164,0.1,22.10.2021 10:17:40,0.7178,1h 17m,13.5,-22.7,-0.5,13.5,-22.7,14,-2.2,0.14,-0.22,tp 0.71780,IS
84,NZDUSD,Buy,26.10.2021 10:15:00,0.7163,0.1,26.10.2021 13:56:40,0.71782,3h 41m,14.7,-8,-0.5,14.7,-8,15.2,13,0.15,-0.07,tp 0.71782,IS
86,NZDUSD,Buy,27.10.2021 11:00:00,0.71563,0.1,27.10.2021 11:31:40,0.71363,31m 40s,-20.5,-28.5,-0.5,-20.5,-28.5,-20,-7,-0.21,-0.28,sl 0.71363,IS
88,NZDUSD,Buy,02.11.2021 09:15:00,0.71631,0.1,02.11.2021 13:29:40,0.71423,4h 14m,-21.3,-49.8,-0.5,-21.3,-49.8,-20.8,-27.8,-0.21,-0.49,sl 0.71423,IS
90,NZDUSD,Buy,05.11.2021 13:15:00,0.70773,0.1,05.11.2021 15:35:40,0.70929,2h 20m,15.1,-34.7,-0.5,15.1,-34.7,15.6,-12.2,0.15,-0.34,tp 0.70929,IS
92,NZDUSD,Buy,09.11.2021 05:45:00,0.71498,0.1,09.11.2021 07:21:40,0.71662,1h 36m,15.9,-18.8,-0.5,15.9,-18.8,16.4,4.2,0.16,-0.18,tp 0.71662,IS
94,NZDUSD,Buy,10.11.2021 06:00:00,0.71108,0.1,10.11.2021 13:09:40,0.70924,7h 9m,-18.9,-37.7,-0.5,-18.9,-37.7,-18.4,-14.2,-0.19,-0.37,sl 0.70924,IS
96,NZDUSD,Buy,15.11.2021 19:15:00,0.70549,0.1,15.11.2021 23:45:00,0.70445,4h 30m,-10.9,-48.6,-0.5,-10.9,-48.6,-10.4,-24.6,-0.11,-0.48,Strategy 5.71.164,IS
98,NZDUSD,Buy,17.11.2021 05:30:00,0.69859,0.1,17.11.2021 07:08:40,0.69999,1h 38m,13.5,-35.1,-0.5,13.5,-35.1,14,-10.6,0.14,-0.34,tp 0.69999,IS
100,NZDUSD,Buy,25.11.2021 15:00:00,0.68438,0.1,25.11.2021 17:58:40,0.6857,2h 58m,12.7,-22.4,-0.5,12.7,-22.4,13.2,2.6,0.13,-0.22,tp 0.68570,IS
102,NZDUSD,Buy,26.11.2021 05:15:00,0.68233,0.1,26.11.2021 23:45:30,0.68154,18h 30m,-8.4,-30.8,-0.5,-8.4,-30.8,-7.9,-5.3,-0.08,-0.3,Strategy 5.71.164,IS
104,NZDUSD,Buy,02.12.2021 09:30:00,0.68101,0.1,02.12.2021 17:02:40,0.68258,7h 32m,15.2,-15.6,-0.5,15.2,-15.6,15.7,10.4,0.15,-0.15,tp 0.68258,IS
106,NZDUSD,Buy,06.12.2021 09:00:00,0.67407,0.1,06.12.2021 11:01:40,0.67554,2h 1m,14.2,-1.4,-0.5,14.2,-1.4,14.7,25.1,0.14,-0.01,tp 0.67554,IS
108,NZDUSD,Buy,07.12.2021 11:15:00,0.6761,0.1,07.12.2021 13:38:40,0.67777,2h 23m,16.2,14.8,-0.5,16.2,14.8,16.7,41.8,0.16,0.16,tp 0.67777,IS
110,NZDUSD,Buy,08.12.2021 09:15:00,0.67845,0.1,08.12.2021 13:40:40,0.67665,4h 25m,-18.5,-3.7,-0.5,-18.5,-3.7,-18,23.8,-0.18,-0.03,sl 0.67665,IS
112,NZDUSD,Buy,09.12.2021 13:30:00,0.67903,0.1,09.12.2021 23:45:00,0.6792,10h 15m,1.2,-2.5,-0.5,1.2,-2.5,1.7,25.5,0.01,-0.02,Strategy 5.71.164,IS
114,NZDUSD,Buy,10.12.2021 09:45:00,0.6782,0.1,10.12.2021 15:33:40,0.67953,5h 48m,12.8,10.3,-0.5,12.8,10.3,13.3,38.8,0.13,0.11,tp 0.67953,IS
116,NZDUSD,Buy,13.12.2021 05:00:00,0.67882,0.1,13.12.2021 11:26:40,0.67714,6h 26m,-17.3,-7,-0.5,-17.3,-7,-16.8,22,-0.17,-0.06,sl 0.67714,IS
118,NZDUSD,Buy,14.12.2021 05:00:00,0.67435,0.1,14.12.2021 10:21:40,0.67575,5h 21m,13.5,6.5,-0.5,13.5,6.5,14,36,0.14,0.07,tp 0.67575,IS
120,NZDUSD,Buy,17.12.2021 12:15:00,0.67637,0.1,17.12.2021 20:26:40,0.67442,8h 11m,-20,-13.5,-0.5,-20,-13.5,-19.5,16.5,-0.2,-0.13,sl 0.67442,IS
122,NZDUSD,Buy,20.12.2021 11:15:00,0.67077,0.1,20.12.2021 15:47:40,0.67241,4h 32m,15.9,2.4,-0.5,15.9,2.4,16.4,32.9,0.16,0.03,tp 0.67241,IS
124,NZDUSD,Buy,22.12.2021 05:00:00,0.67489,0.1,22.12.2021 10:08:40,0.67629,5h 8m,13.5,15.9,-0.5,13.5,15.9,14,46.9,0.13,0.17,tp 0.67629,IS
126,NZDUSD,Buy,23.12.2021 14:00:00,0.68258,0.1,23.12.2021 15:04:40,0.68064,1h 4m,-19.9,-4,-0.5,-19.9,-4,-19.4,27.5,-0.2,-0.03,sl 0.68064,IS
128,NZDUSD,Buy,24.12.2021 13:45:00,0.6816,0.1,24.12.2021 20:21:40,0.68302,6h 36m,13.7,9.7,-0.5,13.7,9.7,14.2,41.7,0.14,0.11,tp 0.68302,IS
130,NZDUSD,Buy,27.12.2021 10:30:00,0.6806,0.1,27.12.2021 15:02:20,0.67899,4h 32m,-16.6,-6.9,-0.5,-16.6,-6.9,-16.1,25.6,-0.17,-0.06,sl 0.67899,IS
132,NZDUSD,Buy,03.01.2022 15:45:00,0.68118,0.1,03.01.2022 16:20:40,0.67925,35m 40s,-19.8,-26.7,-0.5,-19.8,-26.7,-19.3,6.3,-0.2,-0.26,sl 0.67925,IS
