Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,US500.cash,Buy,08.07.2021 10:00:00,4337.37,0.1,08.07.2021 11:00:40,4314.23,1h 0m,-2.31,-2.31,0,-2.31,-2.31,-231400,-231400,-0.02,-0.02,sl 4314.23,IS
4,US500.cash,Buy,15.07.2021 14:00:00,4363.92,0.1,16.07.2021 02:00:00,4357.15,12h 0m,-0.81,-3.12,-0.13,-0.81,-3.12,-67700,-299100,-0.01,-0.03,Strategy 3.8.114,IS
6,US500.cash,Buy,29.07.2021 05:00:00,4390.57,0.1,30.07.2021 02:00:00,4404.63,21h 0m,1.28,-1.84,-0.13,1.28,-1.84,140600,-158500,0.01,-0.02,Strategy 3.8.114,IS
8,US500.cash,Buy,04.08.2021 18:00:00,4406.92,0.1,05.08.2021 02:00:00,4406.7,8h 0m,-0.15,-1.99,-0.13,-0.15,-1.99,-2200,-160700,-0,-0.02,Strategy 3.8.114,IS
10,US500.cash,Buy,16.08.2021 05:00:00,4458.02,0.1,16.08.2021 16:00:40,4443.81,11h 0m,-1.42,-3.41,0,-1.42,-3.41,-142100,-302800,-0.01,-0.03,sl 4443.81,IS
12,US500.cash,Buy,26.08.2021 18:00:00,4477.02,0.1,27.08.2021 02:00:00,4474.65,8h 0m,-0.37,-3.78,-0.13,-0.37,-3.78,-23700,-326500,-0,-0.04,Strategy 3.8.114,IS
14,US500.cash,Buy,02.09.2021 04:00:00,4521.72,0.1,03.09.2021 02:00:00,4541.1,22h 0m,1.81,-1.97,-0.13,1.81,-1.97,193800,-132700,0.02,-0.02,Strategy 3.8.114,IS
16,US500.cash,Buy,03.09.2021 17:00:00,4532.37,0.1,06.09.2021 02:00:00,4535.1,2d 9h 0m,-0.13,-2.1,-0.4,-0.13,-2.1,27300,-105400,-0,-0.02,Strategy 3.8.114,IS
18,US500.cash,Buy,24.09.2021 10:00:00,4442.87,0.1,24.09.2021 11:15:40,4430.29,1h 15m,-1.26,-3.36,0,-1.26,-3.36,-125800,-231200,-0.01,-0.03,sl 4430.29,IS
20,US500.cash,Buy,27.09.2021 11:00:00,4469.37,0.1,27.09.2021 13:00:40,4458.79,2h 0m,-1.06,-4.42,0,-1.06,-4.42,-105800,-337000,-0.01,-0.04,sl 4458.79,IS
22,US500.cash,Buy,07.10.2021 21:45:00,4410.89,0.1,07.10.2021 23:45:00,4405,2h 0m,-0.59,-5.01,0,-0.59,-5.01,-58900,-395900,-0.01,-0.05,Strategy 3.8.114,IS
24,US500.cash,Buy,08.10.2021 12:00:00,4395.54,0.1,08.10.2021 15:39:40,4418.49,3h 39m,2.3,-2.71,0,2.3,-2.71,229500,-166400,0.02,-0.03,tp 4418.49,IS
26,US500.cash,Buy,11.10.2021 01:45:00,4382.04,0.1,11.10.2021 17:00:40,4412.56,15h 15m,3.05,0.34,0,3.05,0.34,305200,138800,0.03,0,tp 4412.56,IS
28,US500.cash,Buy,15.10.2021 10:45:00,4448.99,0.1,15.10.2021 16:56:40,4466.24,6h 11m,1.73,2.07,0,1.73,2.07,172500,311300,0.02,0.02,tp 4466.24,IS
30,US500.cash,Buy,18.10.2021 02:45:00,4467.04,0.1,18.10.2021 13:17:40,4452.7,10h 32m,-1.43,0.64,0,-1.43,0.64,-143400,167900,-0.01,0.01,sl 4452.70,IS
32,US500.cash,Buy,20.10.2021 09:30:00,4516.84,0.1,20.10.2021 16:37:20,4529.97,7h 7m,1.31,1.95,0,1.31,1.95,131300,299200,0.01,0.02,tp 4529.97,IS
34,US500.cash,Buy,21.10.2021 03:00:00,4532.29,0.1,21.10.2021 22:23:40,4548.05,19h 23m,1.58,3.53,0,1.58,3.53,157600,456800,0.02,0.04,tp 4548.05,IS
36,US500.cash,Buy,22.10.2021 08:45:00,4545.79,0.1,22.10.2021 17:28:40,4560.17,8h 43m,1.44,4.97,0,1.44,4.97,143800,600600,0.01,0.05,tp 4560.17,IS
38,US500.cash,Buy,25.10.2021 02:45:00,4535.14,0.1,25.10.2021 16:20:40,4558.16,13h 35m,2.3,7.27,0,2.3,7.27,230200,830800,0.02,0.07,tp 4558.16,IS
40,US500.cash,Buy,27.10.2021 12:15:00,4573.67,0.1,27.10.2021 22:19:40,4563.09,10h 4m,-1.06,6.21,0,-1.06,6.21,-105800,725000,-0.01,0.06,sl 4563.09,IS
42,US500.cash,Buy,28.10.2021 09:15:00,4560.09,0.1,28.10.2021 16:30:40,4574.98,7h 15m,1.49,7.7,0,1.49,7.7,148900,873900,0.01,0.08,tp 4574.98,IS
44,US500.cash,Buy,29.10.2021 08:15:00,4579.19,0.1,29.10.2021 18:10:40,4595.66,9h 55m,1.65,9.35,0,1.65,9.35,164700,1038600,0.02,0.09,tp 4595.66,IS
46,US500.cash,Buy,01.11.2021 09:15:00,4613.19,0.1,01.11.2021 12:10:40,4628.66,2h 55m,1.55,10.9,0,1.55,10.9,154700,1193300,0.02,0.11,tp 4628.66,IS
