Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDCAD,Buy,05.07.2021 16:15:00,1.2359,0.1,05.07.2021 23:45:00,1.23414,7h 30m,-14.76,-14.76,-0.5,-14.76,-14.76,-17.6,-17.6,-0.15,-0.15,Strategy_6_27_122,IS
4,USDCAD,Buy,06.07.2021 03:45:00,1.23404,0.1,06.07.2021 12:35:40,1.2364,8h 50m,18.59,3.83,-0.5,18.59,3.83,23.6,6,0.19,0.04,tp 1.23640,IS
6,USDCAD,Buy,07.07.2021 13:00:00,1.24345,0.1,07.07.2021 17:04:40,1.2465,4h 4m,23.97,27.8,-0.5,23.97,27.8,30.5,36.5,0.24,0.28,tp 1.24650,IS
8,USDCAD,Buy,08.07.2021 12:00:00,1.2565,0.1,08.07.2021 19:11:20,1.2525,7h 11m,-32.44,-4.64,-0.5,-32.44,-4.64,-40,-3.5,-0.32,-0.05,sl 1.25250,IS
10,USDCAD,Buy,09.07.2021 10:15:00,1.25239,0.1,09.07.2021 15:31:40,1.24839,5h 16m,-32.54,-37.18,-0.5,-32.54,-37.18,-40,-43.5,-0.33,-0.37,sl 1.24839,IS
12,USDCAD,Buy,12.07.2021 14:15:00,1.25123,0.1,12.07.2021 17:17:40,1.24723,3h 2m,-32.57,-69.75,-0.5,-32.57,-69.75,-40,-83.5,-0.33,-0.7,sl 1.24723,IS
14,USDCAD,Buy,13.07.2021 09:15:00,1.24607,0.1,13.07.2021 12:47:40,1.24793,3h 32m,14.4,-55.35,-0.5,14.4,-55.35,18.6,-64.9,0.15,-0.55,tp 1.24793,IS
16,USDCAD,Buy,14.07.2021 08:45:00,1.25045,0.1,14.07.2021 12:09:40,1.25242,3h 24m,15.23,-40.12,-0.5,15.23,-40.12,19.7,-45.2,0.15,-0.4,tp 1.25242,IS
18,USDCAD,Buy,15.07.2021 11:00:00,1.25292,0.1,15.07.2021 16:02:40,1.25602,5h 2m,24.18,-15.94,-0.5,24.18,-15.94,31,-14.2,0.24,-0.16,tp 1.25602,IS
20,USDCAD,Buy,16.07.2021 11:15:00,1.25845,0.1,16.07.2021 22:13:40,1.26142,10h 58m,23.04,7.1,-0.5,23.04,7.1,29.7,15.5,0.23,0.07,tp 1.26142,IS
