Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDCHF,Buy,06.07.2021 00:15:00,0.92274,0.1,06.07.2021 09:04:40,0.92003,8h 49m,-29.96,-29.96,-0.5,-29.96,-29.96,-27.1,-27.1,-0.3,-0.3,sl 0.92003,IS
4,USDCHF,Buy,07.07.2021 00:15:00,0.92499,0.1,07.07.2021 23:45:00,0.92565,23h 30m,6.63,-23.33,-0.5,6.63,-23.33,6.6,-20.5,0.07,-0.23,Strategy 4.5.112,IS
6,USDCHF,Buy,08.07.2021 08:30:00,0.92519,0.1,08.07.2021 10:36:40,0.92285,2h 6m,-25.86,-49.19,-0.5,-25.86,-49.19,-23.4,-43.9,-0.26,-0.49,sl 0.92285,IS
8,USDCHF,Buy,12.07.2021 04:30:00,0.91356,0.1,12.07.2021 07:01:40,0.91479,2h 31m,12.95,-36.24,-0.5,12.95,-36.24,12.3,-31.6,0.13,-0.36,tp 0.91479,IS
10,USDCHF,Buy,13.07.2021 03:15:00,0.91482,0.1,13.07.2021 10:51:40,0.91579,7h 36m,10.09,-26.15,-0.5,10.09,-26.15,9.7,-21.9,0.1,-0.26,tp 0.91579,IS
12,USDCHF,Buy,16.07.2021 00:15:00,0.91777,0.1,16.07.2021 10:32:40,0.91948,10h 17m,18.1,-8.05,-0.5,18.1,-8.05,17.1,-4.8,0.18,-0.08,tp 0.91948,IS
14,USDCHF,Buy,19.07.2021 02:45:00,0.91861,0.1,19.07.2021 09:44:40,0.92011,6h 59m,15.8,7.75,-0.5,15.8,7.75,15,10.2,0.16,0.08,tp 0.92011,IS
16,USDCHF,Buy,20.07.2021 00:15:00,0.91861,0.1,20.07.2021 14:27:40,0.92046,14h 12m,19.6,27.35,-0.5,19.6,27.35,18.5,28.7,0.2,0.27,tp 0.92046,IS
18,USDCHF,Buy,23.07.2021 11:00:00,0.9193,0.1,23.07.2021 12:26:40,0.92071,1h 26m,14.81,42.16,-0.5,14.81,42.16,14.1,42.8,0.15,0.42,tp 0.92071,IS
20,USDCHF,Buy,26.07.2021 00:15:00,0.92015,0.1,26.07.2021 10:24:40,0.91738,10h 9m,-30.69,11.47,-0.5,-30.69,11.47,-27.7,15.1,-0.31,0.12,sl 0.91738,IS
