Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDCHF,Buy,06.07.2021 16:15:00,0.92439,0.1,06.07.2021 23:45:00,0.92431,7h 30m,-1.37,-1.37,-0.5,-1.37,-1.37,-0.8,-0.8,-0.01,-0.01,Strategy 6.23.134,IS
4,USDCHF,Buy,13.07.2021 14:45:00,0.91754,0.1,13.07.2021 15:31:40,0.91904,46m 40s,15.82,14.45,-0.5,15.82,14.45,15,14.2,0.16,0.14,tp 0.91904,IS
6,USDCHF,Buy,15.07.2021 19:15:00,0.91928,0.1,15.07.2021 23:45:00,0.91779,4h 30m,-16.73,-2.28,-0.5,-16.73,-2.28,-14.9,-0.7,-0.17,-0.02,Strategy 6.23.134,IS
8,USDCHF,Buy,19.07.2021 10:30:00,0.92199,0.1,19.07.2021 15:47:40,0.91947,5h 17m,-27.91,-30.19,-0.5,-27.91,-30.19,-25.2,-25.9,-0.28,-0.3,sl 0.91947,IS
10,USDCHF,Buy,20.07.2021 16:30:00,0.9223,0.1,20.07.2021 23:45:00,0.92127,7h 15m,-11.68,-41.87,-0.5,-11.68,-41.87,-10.3,-36.2,-0.12,-0.42,Strategy 6.23.134,IS
12,USDCHF,Buy,23.07.2021 13:15:00,0.92158,0.1,23.07.2021 23:45:00,0.91978,10h 30m,-20.07,-61.94,-0.5,-20.07,-61.94,-18,-54.2,-0.2,-0.62,Strategy 6.23.134,IS
14,USDCHF,Buy,28.07.2021 17:00:00,0.9169,0.1,28.07.2021 19:55:40,0.913,2h 55m,-43.22,-105.16,-0.5,-43.22,-105.16,-39,-93.2,-0.43,-1.06,sl 0.91300,IS
16,USDCHF,Buy,04.08.2021 11:30:00,0.90536,0.1,04.08.2021 15:46:40,0.90261,4h 16m,-30.97,-136.13,-0.5,-30.97,-136.13,-27.5,-120.7,-0.31,-1.37,sl 0.90261,IS
18,USDCHF,Buy,05.08.2021 05:45:00,0.90757,0.1,05.08.2021 10:56:40,0.90548,5h 11m,-23.58,-159.71,-0.5,-23.58,-159.71,-20.9,-141.6,-0.24,-1.61,sl 0.90548,IS
20,USDCHF,Buy,06.08.2021 05:45:00,0.90777,0.1,06.08.2021 14:32:20,0.90865,8h 47m,9.18,-150.53,-0.5,9.18,-150.53,8.8,-132.8,0.09,-1.51,tp 0.90865,IS
22,USDCHF,Buy,10.08.2021 02:15:00,0.92088,0.1,10.08.2021 14:30:40,0.92246,12h 15m,16.63,-133.9,-0.5,16.63,-133.9,15.8,-117,0.17,-1.35,tp 0.92246,IS
24,USDCHF,Buy,17.08.2021 18:00:00,0.91486,0.1,17.08.2021 23:45:00,0.91499,5h 45m,0.92,-132.98,-0.5,0.92,-132.98,1.3,-115.7,0.01,-1.34,Strategy 6.23.134,IS
26,USDCHF,Buy,18.08.2021 01:30:00,0.9153,0.1,18.08.2021 17:22:40,0.91692,15h 52m,17.17,-115.81,-0.5,17.17,-115.81,16.2,-99.5,0.17,-1.16,tp 0.91692,IS
28,USDCHF,Buy,25.08.2021 05:00:00,0.91498,0.1,25.08.2021 23:45:00,0.91367,18h 45m,-14.84,-130.65,-0.5,-14.84,-130.65,-13.1,-112.6,-0.15,-1.31,Strategy 6.23.134,IS
30,USDCHF,Buy,26.08.2021 10:00:00,0.91697,0.1,26.08.2021 16:07:40,0.91826,6h 7m,13.55,-117.1,-0.5,13.55,-117.1,12.9,-99.7,0.14,-1.17,tp 0.91826,IS
