Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDJPY,Buy,07.07.2021 16:15:00,110.726,0.1,07.07.2021 23:45:00,110.623,7h 30m,-9.81,-9.81,-0.5,-9.81,-9.81,-10.3,-10.3,-0.1,-0.1,Strategy 0.18430,IS
4,USDJPY,Buy,09.07.2021 13:45:00,109.994,0.1,09.07.2021 23:45:00,110.122,10h 0m,11.12,1.31,-0.5,11.12,1.31,12.8,2.5,0.11,0.01,Strategy 0.18430,IS
6,USDJPY,Buy,12.07.2021 14:45:00,110.309,0.1,12.07.2021 23:45:30,110.344,9h 0m,2.67,3.98,-0.5,2.67,3.98,3.5,6,0.03,0.04,Strategy 0.18430,IS
8,USDJPY,Buy,13.07.2021 16:00:00,110.564,0.1,13.07.2021 23:45:00,110.64,7h 45m,6.37,10.35,-0.5,6.37,10.35,7.6,13.6,0.06,0.1,Strategy 0.18430,IS
10,USDJPY,Buy,16.07.2021 10:45:00,110.225,0.1,16.07.2021 23:45:00,110.066,13h 0m,-14.95,-4.6,-0.5,-14.95,-4.6,-15.9,-2.3,-0.15,-0.05,Strategy 0.18430,IS
12,USDJPY,Buy,19.07.2021 08:45:00,109.994,0.1,19.07.2021 15:16:20,109.594,6h 31m,-37,-41.6,-0.5,-37,-41.6,-40,-42.3,-0.37,-0.42,sl 109.594,IS
14,USDJPY,Buy,20.07.2021 17:15:00,109.658,0.1,20.07.2021 23:45:00,109.852,6h 30m,17.16,-24.44,-0.5,17.16,-24.44,19.4,-22.9,0.17,-0.24,Strategy 0.18430,IS
16,USDJPY,Buy,21.07.2021 10:30:00,110.046,0.1,21.07.2021 23:45:00,110.286,13h 15m,21.26,-3.18,-0.5,21.26,-3.18,24,1.1,0.21,-0.03,Strategy 0.18430,IS
18,USDJPY,Buy,22.07.2021 11:15:00,110.389,0.1,22.07.2021 23:45:00,110.186,12h 30m,-18.92,-22.1,-0.5,-18.92,-22.1,-20.3,-19.2,-0.19,-0.22,Strategy 0.18430,IS
20,USDJPY,Buy,23.07.2021 10:00:00,110.347,0.1,23.07.2021 23:45:00,110.551,13h 45m,17.95,-4.15,-0.5,17.95,-4.15,20.4,1.2,0.18,-0.04,Strategy 0.18430,IS
22,USDJPY,Buy,30.07.2021 09:30:00,109.667,0.1,30.07.2021 23:45:00,109.692,14h 15m,1.78,-2.37,-0.5,1.78,-2.37,2.5,3.7,0.02,-0.02,Strategy 0.18430,IS
24,USDJPY,Buy,04.08.2021 11:15:00,109.179,0.1,04.08.2021 15:51:20,108.779,4h 36m,-37.27,-39.64,-0.5,-37.27,-39.64,-40,-36.3,-0.37,-0.39,sl 108.779,IS
26,USDJPY,Buy,06.08.2021 15:45:00,110.113,0.1,06.08.2021 23:45:00,110.233,8h 0m,10.39,-29.25,-0.5,10.39,-29.25,12,-24.3,0.1,-0.29,Strategy 0.18430,IS
28,USDJPY,Buy,10.08.2021 10:15:00,110.463,0.1,10.08.2021 23:45:00,110.597,13h 30m,11.62,-17.63,-0.5,11.62,-17.63,13.4,-10.9,0.12,-0.17,Strategy 0.18430,IS
30,USDJPY,Buy,12.08.2021 17:30:00,110.499,0.1,12.08.2021 23:45:00,110.437,6h 15m,-6.11,-23.74,-0.5,-6.11,-23.74,-6.2,-17.1,-0.06,-0.24,Strategy 0.18430,IS
32,USDJPY,Buy,18.08.2021 10:00:00,109.654,0.1,18.08.2021 23:45:00,109.764,13h 45m,9.52,-14.22,-0.5,9.52,-14.22,11,-6.1,0.1,-0.14,Strategy 0.18430,IS
34,USDJPY,Buy,23.08.2021 09:00:00,109.997,0.1,23.08.2021 23:45:00,109.699,14h 45m,-27.67,-41.89,-0.5,-27.67,-41.89,-29.8,-35.9,-0.28,-0.42,Strategy 0.18430,IS
36,USDJPY,Buy,24.08.2021 08:15:00,109.858,0.1,24.08.2021 16:04:00,109.458,7h 49m,-37.04,-78.93,-0.5,-37.04,-78.93,-40,-75.9,-0.37,-0.79,sl 109.458,IS
38,USDJPY,Buy,25.08.2021 14:15:00,109.942,0.1,25.08.2021 23:45:00,109.991,9h 30m,3.95,-74.98,-0.5,3.95,-74.98,4.9,-71,0.04,-0.75,Strategy 0.18430,IS
40,USDJPY,Buy,26.08.2021 10:00:00,110.195,0.1,26.08.2021 23:45:00,110.074,13h 45m,-11.49,-86.47,-0.5,-11.49,-86.47,-12.1,-83.1,-0.12,-0.86,Strategy 0.18430,IS
42,USDJPY,Buy,27.08.2021 10:45:00,110.151,0.1,27.08.2021 23:45:00,109.846,13h 0m,-28.27,-114.74,-0.5,-28.27,-114.74,-30.5,-113.6,-0.29,-1.15,Strategy 0.18430,IS
44,USDJPY,Buy,30.08.2021 14:45:00,109.938,0.1,30.08.2021 23:45:00,109.932,9h 0m,-1.05,-115.79,-0.5,-1.05,-115.79,-0.6,-114.2,-0.01,-1.16,Strategy 0.18430,IS
46,USDJPY,Buy,31.08.2021 18:15:00,110.042,0.1,31.08.2021 23:45:00,110.001,5h 30m,-4.23,-120.02,-0.5,-4.23,-120.02,-4.1,-118.3,-0.04,-1.2,Strategy 0.18430,IS
48,USDJPY,Buy,01.09.2021 08:15:00,110.287,0.1,01.09.2021 16:52:40,109.887,8h 37m,-36.9,-156.92,-0.5,-36.9,-156.92,-40,-158.3,-0.37,-1.58,sl 109.887,IS
50,USDJPY,Buy,06.09.2021 16:15:00,109.9,0.1,06.09.2021 23:45:00,109.838,7h 30m,-6.14,-163.06,-0.5,-6.14,-163.06,-6.2,-164.5,-0.06,-1.64,Strategy 0.18430,IS
52,USDJPY,Buy,07.09.2021 09:15:00,109.936,0.1,07.09.2021 23:45:00,110.292,14h 30m,31.78,-131.28,-0.5,31.78,-131.28,35.6,-128.9,0.32,-1.32,Strategy 0.18430,IS
54,USDJPY,Buy,13.09.2021 08:15:00,110.03,0.1,13.09.2021 23:45:00,110.003,15h 30m,-2.95,-134.23,-0.5,-2.95,-134.23,-2.7,-131.6,-0.03,-1.35,Strategy 0.18430,IS
56,USDJPY,Buy,14.09.2021 13:45:00,110.16,0.1,14.09.2021 17:15:40,109.76,3h 30m,-36.94,-171.17,-0.5,-36.94,-171.17,-40,-171.6,-0.37,-1.72,sl 109.760,IS
58,USDJPY,Buy,16.09.2021 15:45:00,109.677,0.1,16.09.2021 23:45:00,109.741,8h 0m,5.33,-165.84,-0.5,5.33,-165.84,6.4,-165.2,0.05,-1.67,Strategy 0.18430,IS
60,USDJPY,Buy,29.09.2021 17:15:00,111.782,0.1,29.09.2021 23:45:00,111.989,6h 30m,17.98,-147.86,-0.5,17.98,-147.86,20.7,-144.5,0.18,-1.48,Strategy 0.18430,IS
62,USDJPY,Buy,04.10.2021 10:30:00,111.162,0.1,04.10.2021 23:45:00,110.924,13h 15m,-21.96,-169.82,-0.5,-21.96,-169.82,-23.8,-168.3,-0.22,-1.71,Strategy 0.18430,IS
64,USDJPY,Buy,05.10.2021 07:00:00,111.17,0.1,05.10.2021 23:45:00,111.455,16h 45m,25.07,-144.75,-0.5,25.07,-144.75,28.5,-139.8,0.26,-1.45,Strategy 0.18430,IS
66,USDJPY,Buy,07.10.2021 16:15:00,111.534,0.1,07.10.2021 23:45:00,111.641,7h 30m,9.08,-135.67,-0.5,9.08,-135.67,10.7,-129.1,0.09,-1.36,Strategy 0.18430,IS
68,USDJPY,Buy,08.10.2021 17:15:00,111.925,0.1,08.10.2021 23:45:00,112.242,6h 30m,27.74,-107.93,-0.5,27.74,-107.93,31.7,-97.4,0.28,-1.08,Strategy 0.18430,IS
70,USDJPY,Buy,11.10.2021 07:45:00,112.668,0.1,11.10.2021 23:45:00,113.301,16h 0m,55.37,-52.56,-0.5,55.37,-52.56,63.3,-34.1,0.56,-0.52,Strategy 0.18430,IS
72,USDJPY,Buy,13.10.2021 10:30:00,113.597,0.1,13.10.2021 23:45:00,113.262,13h 15m,-30.08,-82.64,-0.5,-30.08,-82.64,-33.5,-67.6,-0.3,-0.82,Strategy 0.18430,IS
74,USDJPY,Buy,14.10.2021 07:00:00,113.548,0.1,14.10.2021 23:45:00,113.681,16h 45m,11.2,-71.44,-0.5,11.2,-71.44,13.3,-54.3,0.11,-0.71,Strategy 0.18430,IS
76,USDJPY,Buy,15.10.2021 07:30:00,113.953,0.1,15.10.2021 23:45:00,114.274,16h 15m,27.59,-43.85,-0.5,27.59,-43.85,32.1,-22.2,0.28,-0.43,Strategy 0.18430,IS
78,USDJPY,Buy,18.10.2021 08:00:00,114.345,0.1,18.10.2021 23:45:00,114.295,15h 45m,-4.87,-48.72,-0.5,-4.87,-48.72,-5,-27.2,-0.05,-0.48,Strategy 0.18430,IS
80,USDJPY,Buy,25.10.2021 16:00:00,113.88,0.1,25.10.2021 23:45:00,113.713,7h 45m,-15.19,-63.91,-0.5,-15.19,-63.91,-16.7,-43.9,-0.15,-0.63,Strategy 0.18430,IS
82,USDJPY,Buy,29.10.2021 12:15:00,113.719,0.1,29.10.2021 23:45:00,113.989,11h 30m,23.19,-40.72,-0.5,23.19,-40.72,27,-16.9,0.23,-0.4,Strategy 0.18430,IS
84,USDJPY,Buy,01.11.2021 07:15:00,114.25,0.1,01.11.2021 23:45:00,114.022,16h 30m,-20.5,-61.22,-0.5,-20.5,-61.22,-22.8,-39.7,-0.21,-0.6,Strategy 0.18430,IS
86,USDJPY,Buy,03.11.2021 16:30:00,113.974,0.1,03.11.2021 23:45:00,113.998,7h 15m,1.61,-59.61,-0.5,1.61,-59.61,2.4,-37.3,0.02,-0.59,Strategy 0.18430,IS
88,USDJPY,Buy,04.11.2021 10:15:00,114.256,0.1,04.11.2021 14:12:40,113.856,3h 57m,-35.63,-95.24,-0.5,-35.63,-95.24,-40,-77.3,-0.36,-0.95,sl 113.856,IS
90,USDJPY,Buy,10.11.2021 09:00:00,112.926,0.1,10.11.2021 17:11:40,113.726,8h 11m,69.84,-25.4,-0.5,69.84,-25.4,80,2.7,0.71,-0.24,tp 113.726,IS
92,USDJPY,Buy,15.11.2021 19:45:00,114.046,0.1,15.11.2021 23:45:00,114.124,4h 0m,6.33,-19.07,-0.5,6.33,-19.07,7.8,10.5,0.06,-0.18,Strategy 0.18430,IS
94,USDJPY,Buy,19.11.2021 10:30:00,114.459,0.1,19.11.2021 11:31:40,114.059,1h 1m,-35.57,-54.64,-0.5,-35.57,-54.64,-40,-29.5,-0.36,-0.53,sl 114.059,IS
96,USDJPY,Buy,22.11.2021 09:15:00,114.232,0.1,22.11.2021 23:45:00,114.873,14h 30m,55.3,0.66,-0.5,55.3,0.66,64.1,34.6,0.56,0.02,Strategy 0.18430,IS
98,USDJPY,Buy,24.11.2021 16:15:00,115.289,0.1,24.11.2021 23:45:00,115.409,7h 30m,9.9,10.56,-0.5,9.9,10.56,12,46.6,0.1,0.12,Strategy 0.18430,IS
100,USDJPY,Buy,29.11.2021 21:00:00,113.772,0.1,29.11.2021 23:45:00,113.56,2h 45m,-19.17,-8.61,-0.5,-19.17,-8.61,-21.2,25.4,-0.19,-0.07,Strategy 0.18430,IS
102,USDJPY,Buy,01.12.2021 08:30:00,113.592,0.1,01.12.2021 15:38:40,113.192,7h 8m,-35.84,-44.45,-0.5,-35.84,-44.45,-40,-14.6,-0.36,-0.43,sl 113.192,IS
104,USDJPY,Buy,02.12.2021 08:00:00,113.116,0.1,02.12.2021 14:41:00,112.716,6h 41m,-35.99,-80.44,-0.5,-35.99,-80.44,-40,-54.6,-0.36,-0.79,sl 112.716,IS
106,USDJPY,Buy,03.12.2021 07:00:00,113.213,0.1,03.12.2021 19:32:40,112.813,12h 32m,-35.96,-116.4,-0.5,-35.96,-116.4,-40,-94.6,-0.36,-1.15,sl 112.813,IS
108,USDJPY,Buy,06.12.2021 09:00:00,113.11,0.1,06.12.2021 23:45:00,113.5,14h 45m,33.86,-82.54,-0.5,33.86,-82.54,39,-55.6,0.34,-0.81,Strategy 0.18430,IS
110,USDJPY,Buy,07.12.2021 15:45:00,113.664,0.1,07.12.2021 23:45:00,113.551,8h 0m,-10.45,-92.99,-0.5,-10.45,-92.99,-11.3,-66.9,-0.11,-0.92,Strategy 0.18430,IS
112,USDJPY,Buy,08.12.2021 10:45:00,113.607,0.1,08.12.2021 23:45:00,113.702,13h 0m,7.86,-85.13,-0.5,7.86,-85.13,9.5,-57.4,0.08,-0.84,Strategy 0.18430,IS
114,USDJPY,Buy,10.12.2021 09:30:00,113.593,0.1,10.12.2021 23:45:00,113.385,14h 15m,-18.84,-103.97,-0.5,-18.84,-103.97,-20.8,-78.2,-0.19,-1.03,Strategy 0.18430,IS
116,USDJPY,Buy,13.12.2021 10:15:00,113.592,0.1,13.12.2021 23:45:00,113.596,13h 30m,-0.15,-104.12,-0.5,-0.15,-104.12,0.4,-77.8,-0,-1.03,Strategy 0.18430,IS
118,USDJPY,Buy,14.12.2021 09:45:00,113.689,0.1,14.12.2021 23:45:00,113.746,14h 0m,4.51,-99.61,-0.5,4.51,-99.61,5.7,-72.1,0.05,-0.98,Strategy 0.18430,IS
120,USDJPY,Buy,15.12.2021 12:45:00,113.797,0.1,15.12.2021 23:45:00,114.044,11h 0m,21.16,-78.45,-0.5,21.16,-78.45,24.7,-47.4,0.21,-0.77,Strategy 0.18430,IS
122,USDJPY,Buy,21.12.2021 07:45:00,113.717,0.1,21.12.2021 23:45:00,114.09,16h 0m,32.19,-46.26,-0.5,32.19,-46.26,37.3,-10.1,0.32,-0.44,Strategy 0.18430,IS
124,USDJPY,Buy,22.12.2021 10:15:00,114.193,0.1,22.12.2021 23:45:00,114.116,13h 30m,-7.25,-53.51,-0.5,-7.25,-53.51,-7.7,-17.8,-0.07,-0.52,Strategy 0.18430,IS
126,USDJPY,Buy,23.12.2021 08:15:00,114.191,0.1,23.12.2021 23:45:00,114.415,15h 30m,19.08,-34.43,-0.5,19.08,-34.43,22.4,4.6,0.19,-0.33,Strategy 0.18430,IS
128,USDJPY,Buy,27.12.2021 08:15:00,114.464,0.1,27.12.2021 23:45:00,114.884,15h 30m,36.06,1.63,-0.5,36.06,1.63,42,46.6,0.36,0.04,Strategy 0.18430,IS
130,USDJPY,Buy,29.12.2021 07:30:00,114.857,0.1,29.12.2021 23:45:00,114.984,16h 15m,10.55,12.18,-0.5,10.55,12.18,12.7,59.3,0.11,0.14,Strategy 0.18430,IS
132,USDJPY,Buy,30.12.2021 07:15:00,115.062,0.1,30.12.2021 23:45:00,115.061,16h 30m,-0.59,11.59,-0.5,-0.59,11.59,-0.1,59.2,-0.01,0.14,Strategy 0.18430,IS
134,USDJPY,Buy,31.12.2021 08:15:00,115.117,0.1,31.12.2021 23:45:00,115.082,15h 30m,-3.54,8.05,-0.5,-3.54,8.05,-3.5,55.7,-0.04,0.1,Strategy 0.18430,IS
136,USDJPY,Buy,03.01.2022 08:00:00,115.311,0.1,03.01.2022 23:45:00,115.342,15h 45m,2.19,10.24,-0.5,2.19,10.24,3.1,58.8,0.02,0.12,Strategy 0.18430,IS
138,USDJPY,Buy,04.01.2022 10:45:00,115.837,0.1,04.01.2022 23:45:00,116.14,13h 0m,25.59,35.83,-0.5,25.59,35.83,30.3,89.1,0.26,0.38,Strategy 0.18430,IS
140,USDJPY,Buy,11.01.2022 21:45:00,115.405,0.1,11.01.2022 23:45:00,115.29,2h 0m,-10.47,25.36,-0.5,-10.47,25.36,-11.5,77.6,-0.1,0.27,Strategy 0.18430,IS
142,USDJPY,Buy,12.01.2022 10:15:00,115.418,0.1,12.01.2022 17:11:40,115.018,6h 56m,-35.28,-9.92,-0.5,-35.28,-9.92,-40,37.6,-0.35,-0.08,sl 115.018,IS
144,USDJPY,Buy,20.01.2022 07:15:00,114.518,0.1,20.01.2022 15:42:40,114.118,8h 27m,-35.55,-45.47,-0.5,-35.55,-45.47,-40,-2.4,-0.36,-0.43,sl 114.118,IS
146,USDJPY,Buy,24.01.2022 07:15:00,113.95,0.1,24.01.2022 11:01:20,113.55,3h 46m,-35.73,-81.2,-0.5,-35.73,-81.2,-40,-42.4,-0.36,-0.79,sl 113.550,IS
148,USDJPY,Buy,25.01.2022 11:30:00,114.036,0.1,25.01.2022 23:45:00,113.863,12h 15m,-15.69,-96.89,-0.5,-15.69,-96.89,-17.3,-59.7,-0.16,-0.95,Strategy 0.18430,IS
150,USDJPY,Buy,26.01.2022 07:00:00,113.922,0.1,26.01.2022 23:45:00,114.659,16h 45m,63.78,-33.11,-0.5,63.78,-33.11,73.7,14,0.64,-0.31,Strategy 0.18430,IS
152,USDJPY,Buy,08.02.2022 07:15:00,115.471,0.1,08.02.2022 23:45:00,115.535,16h 30m,5.04,-28.07,-0.5,5.04,-28.07,6.4,20.4,0.05,-0.26,Strategy 0.18430,IS
154,USDJPY,Buy,09.02.2022 09:00:00,115.522,0.1,09.02.2022 23:45:00,115.542,14h 45m,1.23,-26.84,-0.5,1.23,-26.84,2,22.4,0.01,-0.24,Strategy 0.18430,IS
156,USDJPY,Buy,10.02.2022 11:15:00,115.822,0.1,10.02.2022 23:45:00,116.004,12h 30m,15.19,-11.65,-0.5,15.19,-11.65,18.2,40.6,0.15,-0.09,Strategy 0.18430,IS
158,USDJPY,Buy,16.02.2022 10:45:00,115.748,0.1,16.02.2022 23:45:00,115.45,13h 0m,-26.31,-37.96,-0.5,-26.31,-37.96,-29.8,10.8,-0.26,-0.35,Strategy 0.18430,IS
160,USDJPY,Buy,22.02.2022 10:15:00,114.808,0.1,22.02.2022 23:45:00,115.076,13h 30m,22.79,-15.17,-0.5,22.79,-15.17,26.8,37.6,0.23,-0.13,Strategy 0.18430,IS
162,USDJPY,Buy,23.02.2022 11:00:00,115.132,0.1,23.02.2022 23:45:00,115.017,12h 45m,-10.5,-25.67,-0.5,-10.5,-25.67,-11.5,26.1,-0.11,-0.23,Strategy 0.18430,IS
164,USDJPY,Buy,24.02.2022 17:00:00,115.182,0.1,24.02.2022 23:45:00,115.552,6h 45m,31.52,5.85,-0.5,31.52,5.85,37,63.1,0.32,0.08,Strategy 0.18430,IS
166,USDJPY,Buy,25.02.2022 19:00:00,115.63,0.1,25.02.2022 23:45:00,115.539,4h 45m,-8.38,-2.53,-0.5,-8.38,-2.53,-9.1,54,-0.08,0,Strategy 0.18430,IS
168,USDJPY,Buy,02.03.2022 07:45:00,115.091,0.1,02.03.2022 23:45:00,115.514,16h 0m,36.12,33.59,-0.5,36.12,33.59,42.3,96.3,0.36,0.36,Strategy 0.18430,IS
170,USDJPY,Buy,03.03.2022 08:15:00,115.703,0.1,03.03.2022 23:45:00,115.461,15h 30m,-21.46,12.13,-0.5,-21.46,12.13,-24.2,72.1,-0.21,0.15,Strategy 0.18430,IS
172,USDJPY,Buy,09.03.2022 14:00:00,115.926,0.1,09.03.2022 23:45:00,115.871,9h 45m,-5.25,6.88,-0.5,-5.25,6.88,-5.5,66.6,-0.05,0.1,Strategy 0.18430,IS
174,USDJPY,Buy,16.03.2022 18:30:00,118.488,0.1,16.03.2022 23:45:00,118.739,5h 15m,20.64,27.52,-0.5,20.64,27.52,25.1,91.7,0.21,0.3,Strategy 0.18430,IS
176,USDJPY,Buy,18.03.2022 09:45:00,118.83,0.1,18.03.2022 23:45:00,119.157,14h 0m,26.94,54.46,-0.5,26.94,54.46,32.7,124.4,0.27,0.57,Strategy 0.18430,IS
178,USDJPY,Buy,24.03.2022 08:45:00,121.377,0.1,24.03.2022 19:31:40,122.177,10h 46m,64.98,119.44,-0.5,64.98,119.44,80,204.4,0.65,1.22,tp 122.177,IS
180,USDJPY,Buy,01.04.2022 15:45:00,122.78,0.1,01.04.2022 23:45:00,122.539,8h 0m,-20.17,99.27,-0.5,-20.17,99.27,-24.1,180.3,-0.2,1.02,Strategy 0.18430,IS
182,USDJPY,Buy,04.04.2022 07:00:00,122.735,0.1,04.04.2022 23:45:00,122.749,16h 45m,0.64,99.91,-0.5,0.64,99.91,1.4,181.7,0.01,1.02,Strategy 0.18430,IS
184,USDJPY,Buy,05.04.2022 10:45:00,122.888,0.1,05.04.2022 23:45:00,123.616,13h 0m,58.39,158.3,-0.5,58.39,158.3,72.8,254.5,0.58,1.6,Strategy 0.18430,IS
186,USDJPY,Buy,07.04.2022 10:00:00,123.842,0.1,07.04.2022 23:45:00,123.988,13h 45m,11.28,169.58,-0.5,11.28,169.58,14.6,269.1,0.11,1.71,Strategy 0.18430,IS
188,USDJPY,Buy,08.04.2022 14:45:00,124.171,0.1,08.04.2022 23:45:00,124.301,9h 0m,9.96,179.54,-0.5,9.96,179.54,13,282.1,0.1,1.81,Strategy 0.18430,IS
190,USDJPY,Buy,13.04.2022 08:15:00,125.686,0.1,13.04.2022 23:45:00,125.671,15h 30m,-1.69,177.85,-0.5,-1.69,177.85,-1.5,280.6,-0.02,1.79,Strategy 0.18430,IS
192,USDJPY,Buy,18.04.2022 19:15:00,126.843,0.1,18.04.2022 23:45:00,126.991,4h 30m,11.15,189,-0.5,11.15,189,14.8,295.4,0.11,1.9,Strategy 0.18430,IS
194,USDJPY,Buy,21.04.2022 18:45:00,128.677,0.1,21.04.2022 20:51:20,128.277,2h 6m,-31.68,157.32,-0.5,-31.68,157.32,-40,255.4,-0.31,1.59,sl 128.277,IS
196,USDJPY,Buy,22.04.2022 18:15:00,129.001,0.1,22.04.2022 20:36:40,128.601,2h 21m,-31.6,125.72,-0.5,-31.6,125.72,-40,215.4,-0.31,1.28,sl 128.601,IS
198,USDJPY,Buy,26.04.2022 11:00:00,127.895,0.1,26.04.2022 14:58:40,127.495,3h 58m,-31.87,93.85,-0.5,-31.87,93.85,-40,175.4,-0.31,0.97,sl 127.495,IS
200,USDJPY,Buy,27.04.2022 09:15:00,127.859,0.1,27.04.2022 23:45:00,128.385,14h 30m,40.47,134.32,-0.5,40.47,134.32,52.6,228,0.4,1.37,Strategy 0.18430,IS
202,USDJPY,Buy,02.05.2022 10:30:00,130.257,0.1,02.05.2022 12:36:40,129.857,2h 6m,-31.3,103.02,-0.5,-31.3,103.02,-40,188,-0.31,1.06,sl 129.857,IS
