Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDJPY,Buy,13.07.2021 08:00:00,110.475,0.1,13.07.2021 23:45:00,110.64,15h 45m,14.41,14.41,-0.5,14.41,14.41,16.5,16.5,0.14,0.14,Strategy 2.5.150,IS
4,USDJPY,Buy,21.07.2021 10:30:00,110.046,0.1,21.07.2021 23:45:00,110.286,13h 15m,21.26,35.67,-0.5,21.26,35.67,24,40.5,0.21,0.36,Strategy 2.5.150,IS
6,USDJPY,Buy,23.07.2021 05:00:00,110.216,0.1,23.07.2021 23:45:00,110.551,18h 45m,29.8,65.47,-0.5,29.8,65.47,33.5,74,0.3,0.65,Strategy 2.5.150,IS
8,USDJPY,Buy,26.07.2021 12:45:00,110.372,0.1,26.07.2021 23:45:00,110.382,11h 0m,0.41,65.88,-0.5,0.41,65.88,1,75,0,0.66,Strategy 2.5.150,IS
10,USDJPY,Buy,27.07.2021 14:30:00,110.186,0.1,27.07.2021 23:45:00,109.775,9h 15m,-37.94,27.94,-0.5,-37.94,27.94,-41.1,33.9,-0.38,0.28,Strategy 2.5.150,IS
12,USDJPY,Buy,28.07.2021 21:15:00,110.191,0.1,28.07.2021 23:45:00,109.892,2h 30m,-27.71,0.23,-0.5,-27.71,0.23,-29.9,4,-0.28,0,Strategy 2.5.150,IS
14,USDJPY,Buy,05.08.2021 05:30:00,109.74,0.1,05.08.2021 23:45:00,109.783,18h 15m,3.42,3.65,-0.5,3.42,3.65,4.3,8.3,0.03,0.04,Strategy 2.5.150,IS
16,USDJPY,Buy,06.08.2021 02:00:00,109.783,0.1,06.08.2021 23:45:00,110.233,21h 45m,40.32,43.97,-0.5,40.32,43.97,45,53.3,0.4,0.44,Strategy 2.5.150,IS
18,USDJPY,Buy,09.08.2021 01:30:00,110.269,0.1,09.08.2021 23:45:00,110.348,22h 15m,6.66,50.63,-0.5,6.66,50.63,7.9,61.2,0.07,0.51,Strategy 2.5.150,IS
20,USDJPY,Buy,10.08.2021 03:15:00,110.436,0.1,10.08.2021 23:45:00,110.597,20h 30m,14.06,64.69,-0.5,14.06,64.69,16.1,77.3,0.14,0.65,Strategy 2.5.150,IS
22,USDJPY,Buy,11.08.2021 04:15:00,110.73,0.1,11.08.2021 23:45:00,110.433,19h 30m,-27.39,37.3,-0.5,-27.39,37.3,-29.7,47.6,-0.27,0.38,Strategy 2.5.150,IS
24,USDJPY,Buy,12.08.2021 05:15:00,110.46,0.1,12.08.2021 23:45:00,110.437,18h 30m,-2.58,34.72,-0.5,-2.58,34.72,-2.3,45.3,-0.03,0.35,Strategy 2.5.150,IS
26,USDJPY,Buy,19.08.2021 03:00:00,109.891,0.1,19.08.2021 23:45:00,109.766,20h 45m,-11.89,22.83,-0.5,-11.89,22.83,-12.5,32.8,-0.12,0.23,Strategy 2.5.150,IS
28,USDJPY,Buy,23.08.2021 02:00:00,109.891,0.1,23.08.2021 23:45:00,109.699,21h 45m,-18,4.83,-0.5,-18,4.83,-19.2,13.6,-0.18,0.05,Strategy 2.5.150,IS
30,USDJPY,Buy,25.08.2021 10:00:00,109.826,0.1,25.08.2021 23:45:00,109.991,13h 45m,14.5,19.33,-0.5,14.5,19.33,16.5,30.1,0.14,0.2,Strategy 2.5.150,IS
32,USDJPY,Buy,26.08.2021 20:00:00,110.188,0.1,26.08.2021 23:45:00,110.074,3h 45m,-10.86,8.47,-0.5,-10.86,8.47,-11.4,18.7,-0.11,0.09,Strategy 2.5.150,IS
34,USDJPY,Buy,27.08.2021 10:30:00,110.098,0.1,27.08.2021 23:45:00,109.846,13h 15m,-23.44,-14.97,-0.5,-23.44,-14.97,-25.2,-6.5,-0.23,-0.15,Strategy 2.5.150,IS
36,USDJPY,Buy,31.08.2021 12:30:00,109.973,0.1,31.08.2021 23:45:00,110.001,11h 15m,2.05,-12.92,-0.5,2.05,-12.92,2.8,-3.7,0.02,-0.13,Strategy 2.5.150,IS
38,USDJPY,Buy,01.09.2021 10:15:00,110.338,0.1,01.09.2021 23:45:00,110.063,13h 30m,-25.49,-38.41,-0.5,-25.49,-38.41,-27.5,-31.2,-0.26,-0.38,Strategy 2.5.150,IS
40,USDJPY,Buy,02.09.2021 17:30:00,110.116,0.1,02.09.2021 23:45:00,109.933,6h 15m,-17.15,-55.56,-0.5,-17.15,-55.56,-18.3,-49.5,-0.17,-0.55,Strategy 2.5.150,IS
42,USDJPY,Buy,03.09.2021 02:00:00,110.009,0.1,03.09.2021 23:45:30,109.731,21h 45m,-25.83,-81.39,-0.5,-25.83,-81.39,-27.8,-77.3,-0.26,-0.81,Strategy 2.5.150,IS
44,USDJPY,Buy,07.09.2021 16:00:00,110.137,0.1,07.09.2021 23:45:00,110.292,7h 45m,13.55,-67.84,-0.5,13.55,-67.84,15.5,-61.8,0.14,-0.68,Strategy 2.5.150,IS
46,USDJPY,Buy,08.09.2021 08:30:00,110.413,0.1,08.09.2021 23:45:00,110.254,15h 15m,-14.92,-82.76,-0.5,-14.92,-82.76,-15.9,-77.7,-0.15,-0.83,Strategy 2.5.150,IS
48,USDJPY,Buy,09.09.2021 01:00:00,110.322,0.1,09.09.2021 23:45:00,109.731,22h 45m,-54.36,-137.12,-0.5,-54.36,-137.12,-59.1,-136.8,-0.55,-1.37,Strategy 2.5.150,IS
50,USDJPY,Buy,14.09.2021 04:00:00,110.086,0.1,14.09.2021 23:45:00,109.681,19h 45m,-37.43,-174.55,-0.5,-37.43,-174.55,-40.5,-177.3,-0.38,-1.75,Strategy 2.5.150,IS
52,USDJPY,Buy,17.09.2021 05:00:00,109.942,0.1,17.09.2021 23:45:00,109.97,18h 45m,2.05,-172.5,-0.5,2.05,-172.5,2.8,-174.5,0.02,-1.73,Strategy 2.5.150,IS
54,USDJPY,Buy,23.09.2021 05:15:00,109.955,0.1,23.09.2021 23:45:00,110.33,18h 30m,33.49,-139.01,-0.5,33.49,-139.01,37.5,-137,0.34,-1.39,Strategy 2.5.150,IS
56,USDJPY,Buy,24.09.2021 08:45:00,110.511,0.1,24.09.2021 23:45:00,110.763,15h 0m,22.25,-116.76,-0.5,22.25,-116.76,25.2,-111.8,0.23,-1.17,Strategy 2.5.150,IS
58,USDJPY,Buy,27.09.2021 02:00:00,110.84,0.1,27.09.2021 23:45:00,111.013,21h 45m,15.08,-101.68,-0.5,15.08,-101.68,17.3,-94.5,0.15,-1.01,Strategy 2.5.150,IS
