Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,XAUUSD,Buy,06.07.2021 04:45:00,1794.23,0.1,06.07.2021 09:00:40,1805.63,4h 15m,113.74,113.74,-0.26,113.74,113.74,114000,114000,1.14,1.14,tp 1805.63,IS
4,XAUUSD,Buy,07.07.2021 04:30:00,1801.84,0.1,07.07.2021 23:45:00,1803.81,19h 15m,19.44,133.18,-0.26,19.44,133.18,19700,133700,0.19,1.33,Strategy 2.13.130,IS
6,XAUUSD,Buy,08.07.2021 10:30:00,1806.01,0.1,08.07.2021 13:00:40,1817.41,2h 30m,113.74,246.92,-0.26,113.74,246.92,114000,247700,1.12,2.45,tp 1817.41,IS
8,XAUUSD,Buy,09.07.2021 04:45:00,1806.24,0.1,09.07.2021 23:45:00,1808.22,19h 0m,19.54,266.46,-0.26,19.54,266.46,19800,267500,0.19,2.64,Strategy 2.13.130,IS
10,XAUUSD,Buy,13.07.2021 03:15:00,1808.65,0.1,13.07.2021 23:45:00,1807.77,20h 30m,-9.06,257.4,-0.26,-9.06,257.4,-8800,258700,-0.09,2.55,Strategy 2.13.130,IS
12,XAUUSD,Buy,14.07.2021 05:45:00,1811.42,0.1,14.07.2021 15:00:40,1822.82,9h 15m,113.74,371.14,-0.26,113.74,371.14,114000,372700,1.11,3.66,tp 1822.82,IS
14,XAUUSD,Buy,15.07.2021 04:45:00,1828.1,0.1,15.07.2021 23:45:00,1829.25,19h 0m,11.24,382.38,-0.26,11.24,382.38,11500,384200,0.11,3.77,Strategy 2.13.130,IS
16,XAUUSD,Buy,16.07.2021 02:15:00,1831.36,0.1,16.07.2021 13:00:40,1819.81,10h 45m,-115.76,266.62,-0.26,-115.76,266.62,-115500,268700,-1.11,2.66,sl 1819.81,IS
18,XAUUSD,Buy,20.07.2021 03:15:00,1813.74,0.1,20.07.2021 23:45:00,1810.08,20h 30m,-36.86,229.76,-0.26,-36.86,229.76,-36600,232100,-0.36,2.3,Strategy 2.13.130,IS
20,XAUUSD,Buy,21.07.2021 09:15:00,1812.43,0.1,21.07.2021 14:00:40,1800.88,4h 45m,-115.76,114,-0.26,-115.76,114,-115500,116600,-1.13,1.17,sl 1800.88,IS
22,XAUUSD,Buy,22.07.2021 10:15:00,1803.01,0.1,22.07.2021 23:45:00,1806.61,13h 30m,35.74,149.74,-0.26,35.74,149.74,36000,152600,0.35,1.52,Strategy 2.13.130,IS
24,XAUUSD,Buy,23.07.2021 02:15:00,1808.45,0.1,23.07.2021 14:00:40,1796.9,11h 45m,-115.76,33.98,-0.26,-115.76,33.98,-115500,37100,-1.14,0.38,sl 1796.90,IS
26,XAUUSD,Buy,27.07.2021 10:45:00,1800,0.1,27.07.2021 23:45:00,1799.33,13h 0m,-6.96,27.02,-0.26,-6.96,27.02,-6700,30400,-0.07,0.31,Strategy 2.13.130,IS
28,XAUUSD,Buy,28.07.2021 04:30:00,1802.98,0.1,28.07.2021 23:45:00,1807.61,19h 15m,46.04,73.06,-0.26,46.04,73.06,46300,76700,0.46,0.77,Strategy 2.13.130,IS
30,XAUUSD,Buy,29.07.2021 09:45:00,1817.48,0.1,29.07.2021 18:00:40,1828.88,8h 15m,113.74,186.8,-0.26,113.74,186.8,114000,190700,1.13,1.9,tp 1828.88,IS
32,XAUUSD,Buy,30.07.2021 02:45:00,1831.02,0.1,30.07.2021 19:00:40,1819.47,16h 15m,-115.76,71.04,-0.26,-115.76,71.04,-115500,75200,-1.14,0.76,sl 1819.47,IS
34,XAUUSD,Buy,05.08.2021 11:00:00,1813.74,0.1,05.08.2021 16:00:40,1802.19,5h 0m,-115.76,-44.72,-0.26,-115.76,-44.72,-115500,-40300,-1.15,-0.39,sl 1802.19,IS
36,XAUUSD,Buy,10.08.2021 04:30:00,1735.1,0.1,10.08.2021 16:00:40,1723.55,11h 30m,-115.74,-160.46,-0.24,-115.74,-160.46,-115500,-155800,-1.16,-1.55,sl 1723.55,IS
38,XAUUSD,Buy,11.08.2021 05:15:00,1731.36,0.1,11.08.2021 15:00:40,1742.76,9h 45m,113.76,-46.7,-0.24,113.76,-46.7,114000,-41800,1.16,-0.39,tp 1742.76,IS
40,XAUUSD,Buy,12.08.2021 03:00:00,1752.48,0.1,12.08.2021 23:45:00,1753.28,20h 45m,7.76,-38.94,-0.24,7.76,-38.94,8000,-33800,0.08,-0.32,Strategy 2.13.130,IS
42,XAUUSD,Buy,13.08.2021 04:30:00,1754.57,0.1,13.08.2021 17:00:40,1765.97,12h 30m,113.76,74.82,-0.24,113.76,74.82,114000,80200,1.14,0.83,tp 1765.97,IS
44,XAUUSD,Buy,17.08.2021 02:15:00,1788.59,0.1,17.08.2021 23:45:00,1785.35,21h 30m,-32.65,42.17,-0.25,-32.65,42.17,-32400,47800,-0.32,0.5,Strategy 2.13.130,IS
46,XAUUSD,Buy,18.08.2021 04:15:00,1788.22,0.1,18.08.2021 23:45:00,1787.88,19h 30m,-3.66,38.51,-0.26,-3.66,38.51,-3400,44400,-0.04,0.47,Strategy 2.13.130,IS
48,XAUUSD,Buy,19.08.2021 11:45:00,1787.17,0.1,19.08.2021 23:45:00,1780.33,12h 0m,-68.65,-30.14,-0.25,-68.65,-30.14,-68400,-24000,-0.68,-0.22,Strategy 2.13.130,IS
50,XAUUSD,Buy,20.08.2021 04:30:00,1784.38,0.1,20.08.2021 23:45:00,1781.18,19h 15m,-32.24,-62.38,-0.24,-32.24,-62.38,-32000,-56000,-0.32,-0.54,Strategy 2.13.130,IS
52,XAUUSD,Buy,24.08.2021 01:15:00,1805.9,0.1,24.08.2021 23:45:00,1803.52,22h 30m,-24.06,-86.44,-0.26,-24.06,-86.44,-23800,-79800,-0.24,-0.78,Strategy 2.13.130,IS
54,XAUUSD,Buy,26.08.2021 14:15:00,1789.94,0.1,26.08.2021 23:45:00,1791.34,9h 30m,13.74,-72.7,-0.26,13.74,-72.7,14000,-65800,0.14,-0.65,Strategy 2.13.130,IS
