Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,EURUSD,Sell,05.07.2021 09:45:00,1.18655,0.3,05.07.2021 12:14:40,1.18797,2h 29m,-44.1,-44.1,-1.5,-44.1,-44.1,-14.2,-14.2,-0.44,-0.44,sl 1.18797,IS
4,EURUSD,Sell,06.07.2021 06:00:00,1.18717,0.3,06.07.2021 23:45:00,1.18298,17h 45m,124.2,80.1,-1.5,124.2,80.1,41.9,27.7,1.25,0.81,Strategy 6.6.111,IS
6,EURUSD,Sell,07.07.2021 08:45:00,1.18339,0.3,07.07.2021 21:01:40,1.18117,12h 16m,65.1,145.2,-1.5,65.1,145.2,22.2,49.9,0.65,1.45,sl 1.18117,IS
8,EURUSD,Sell,08.07.2021 08:45:00,1.18019,0.3,08.07.2021 10:56:40,1.18218,2h 11m,-61.2,84,-1.5,-61.2,84,-19.9,30,-0.6,0.85,sl 1.18218,IS
10,EURUSD,Sell,09.07.2021 13:00:00,1.18553,0.3,09.07.2021 23:45:00,1.18836,10h 45m,-86.4,-2.4,-1.5,-86.4,-2.4,-28.3,1.7,-0.86,-0.01,Strategy 6.6.111,IS
12,EURUSD,Sell,13.07.2021 03:15:00,1.18672,0.3,13.07.2021 16:48:40,1.18204,13h 33m,138.9,136.5,-1.5,138.9,136.5,46.8,48.5,1.39,1.38,sl 1.18204,IS
14,EURUSD,Sell,14.07.2021 08:45:00,1.17878,0.3,14.07.2021 23:45:00,1.18431,15h 0m,-167.4,-30.9,-1.5,-167.4,-30.9,-55.3,-6.8,-1.65,-0.27,Strategy 6.6.111,IS
16,EURUSD,Sell,27.07.2021 15:00:00,1.17988,0.3,27.07.2021 23:45:00,1.18226,8h 45m,-72.9,-103.8,-1.5,-72.9,-103.8,-23.8,-30.6,-0.73,-1,Strategy 6.6.111,IS
18,EURUSD,Sell,28.07.2021 06:15:00,1.18275,0.3,28.07.2021 11:54:40,1.18265,5h 39m,1.5,-102.3,-1.5,1.5,-102.3,1,-29.6,0.02,-0.99,sl 1.18265,IS
20,EURUSD,Sell,29.07.2021 05:45:00,1.1855,0.3,29.07.2021 23:45:00,1.18902,18h 0m,-107.1,-209.4,-1.5,-107.1,-209.4,-35.2,-64.8,-1.08,-2.07,Strategy 6.6.111,IS
22,EURUSD,Sell,30.07.2021 02:15:00,1.18939,0.3,30.07.2021 10:29:40,1.18989,8h 14m,-16.5,-225.9,-1.5,-16.5,-225.9,-5,-69.8,-0.17,-2.24,sl 1.18989,IS
24,EURUSD,Sell,02.08.2021 10:00:00,1.18829,0.3,02.08.2021 23:45:00,1.18768,13h 45m,16.8,-209.1,-1.5,16.8,-209.1,6.1,-63.7,0.17,-2.06,Strategy 6.6.111,IS
26,EURUSD,Sell,03.08.2021 08:00:00,1.18804,0.3,03.08.2021 13:46:40,1.18955,5h 46m,-46.8,-255.9,-1.5,-46.8,-255.9,-15.1,-78.8,-0.48,-2.54,sl 1.18955,IS
28,EURUSD,Sell,04.08.2021 06:00:00,1.18736,0.3,04.08.2021 14:46:40,1.18698,8h 46m,9.9,-246,-1.5,9.9,-246,3.8,-75,0.1,-2.44,sl 1.18698,IS
30,EURUSD,Sell,05.08.2021 10:30:00,1.18471,0.3,05.08.2021 14:20:40,1.1855,3h 50m,-25.2,-271.2,-1.5,-25.2,-271.2,-7.9,-82.9,-0.26,-2.7,sl 1.18550,IS
32,EURUSD,Sell,09.08.2021 08:00:00,1.17632,0.3,09.08.2021 23:45:00,1.17365,15h 45m,78.6,-192.6,-1.5,78.6,-192.6,26.7,-56.2,0.81,-1.89,Strategy 6.6.111,IS
