Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDJPY,Buy,07.07.2021 16:15:00,110.726,0.4,07.07.2021 23:45:00,110.623,7h 30m,-39.24,-39.24,-2,-39.24,-39.24,-10.3,-10.3,-0.39,-0.39,Strategy 0.18430,IS
4,USDJPY,Buy,09.07.2021 13:45:00,109.994,0.4,09.07.2021 23:45:00,110.122,10h 0m,44.49,5.25,-2,44.49,5.25,12.8,2.5,0.45,0.05,Strategy 0.18430,IS
6,USDJPY,Buy,12.07.2021 14:45:00,110.309,0.4,12.07.2021 23:45:30,110.344,9h 0m,10.69,15.94,-2,10.69,15.94,3.5,6,0.11,0.16,Strategy 0.18430,IS
8,USDJPY,Buy,13.07.2021 16:00:00,110.564,0.4,13.07.2021 23:45:00,110.64,7h 45m,25.48,41.42,-2,25.48,41.42,7.6,13.6,0.25,0.42,Strategy 0.18430,IS
10,USDJPY,Buy,16.07.2021 10:45:00,110.225,0.4,16.07.2021 23:45:00,110.066,13h 0m,-59.78,-18.36,-2,-59.78,-18.36,-15.9,-2.3,-0.6,-0.18,Strategy 0.18430,IS
12,USDJPY,Buy,19.07.2021 08:45:00,109.994,0.4,19.07.2021 15:16:20,109.594,6h 31m,-147.99,-166.35,-2,-147.99,-166.35,-40,-42.3,-1.48,-1.66,sl 109.594,IS
14,USDJPY,Buy,20.07.2021 17:15:00,109.658,0.4,20.07.2021 23:45:00,109.852,6h 30m,68.64,-97.71,-2,68.64,-97.71,19.4,-22.9,0.7,-0.96,Strategy 0.18430,IS
16,USDJPY,Buy,21.07.2021 10:30:00,110.046,0.4,21.07.2021 23:45:00,110.286,13h 15m,85.05,-12.66,-2,85.05,-12.66,24,1.1,0.86,-0.11,Strategy 0.18430,IS
18,USDJPY,Buy,22.07.2021 11:15:00,110.389,0.4,22.07.2021 23:45:00,110.186,12h 30m,-75.69,-88.35,-2,-75.69,-88.35,-20.3,-19.2,-0.76,-0.86,Strategy 0.18430,IS
20,USDJPY,Buy,23.07.2021 10:00:00,110.347,0.4,23.07.2021 23:45:00,110.551,13h 45m,71.81,-16.54,-2,71.81,-16.54,20.4,1.2,0.72,-0.14,Strategy 0.18430,IS
22,USDJPY,Buy,30.07.2021 09:30:00,109.667,0.4,30.07.2021 23:45:00,109.692,14h 15m,7.12,-9.42,-2,7.12,-9.42,2.5,3.7,0.07,-0.07,Strategy 0.18430,IS
24,USDJPY,Buy,04.08.2021 11:15:00,109.179,0.4,04.08.2021 15:51:20,108.779,4h 36m,-149.09,-158.51,-2,-149.09,-158.51,-40,-36.3,-1.49,-1.56,sl 108.779,IS
26,USDJPY,Buy,06.08.2021 15:45:00,110.113,0.4,06.08.2021 23:45:00,110.233,8h 0m,41.54,-116.97,-2,41.54,-116.97,12,-24.3,0.42,-1.14,Strategy 0.18430,IS
28,USDJPY,Buy,10.08.2021 10:15:00,110.463,0.4,10.08.2021 23:45:00,110.597,13h 30m,46.46,-70.51,-2,46.46,-70.51,13.4,-10.9,0.47,-0.67,Strategy 0.18430,IS
30,USDJPY,Buy,12.08.2021 17:30:00,110.499,0.4,12.08.2021 23:45:00,110.437,6h 15m,-24.46,-94.97,-2,-24.46,-94.97,-6.2,-17.1,-0.25,-0.91,Strategy 0.18430,IS
32,USDJPY,Buy,18.08.2021 10:00:00,109.654,0.4,18.08.2021 23:45:00,109.764,13h 45m,38.09,-56.88,-2,38.09,-56.88,11,-6.1,0.38,-0.53,Strategy 0.18430,IS
