Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDJPY,Buy,09.07.2021 11:30:00,110.108,0.4,09.07.2021 23:45:00,110.122,12h 15m,3.09,3.09,-2,3.09,3.09,1.4,1.4,0.03,0.03,Strategy 6.27.190,IS
4,USDJPY,Buy,12.07.2021 01:30:00,110.261,0.4,12.07.2021 23:45:30,110.344,22h 15m,28.09,31.18,-2,28.09,31.18,8.3,9.7,0.28,0.31,Strategy 6.27.190,IS
6,USDJPY,Buy,13.07.2021 00:30:00,110.372,0.4,13.07.2021 23:45:00,110.64,23h 15m,94.89,126.07,-2,94.89,126.07,26.8,36.5,0.95,1.26,Strategy 6.27.190,IS
8,USDJPY,Buy,16.07.2021 10:30:00,110.088,0.4,16.07.2021 23:45:00,110.066,13h 15m,-10,116.07,-2,-10,116.07,-2.2,34.3,-0.1,1.16,Strategy 6.27.190,IS
10,USDJPY,Buy,19.07.2021 10:00:00,110.076,0.4,19.07.2021 16:27:40,109.276,6h 27m,-294.84,-178.77,-2,-294.84,-178.77,-80,-45.7,-2.91,-1.76,sl 109.276,IS
12,USDJPY,Buy,20.07.2021 17:30:00,109.777,0.4,20.07.2021 23:45:00,109.852,6h 15m,25.31,-153.46,-2,25.31,-153.46,7.5,-38.2,0.26,-1.5,Strategy 6.27.190,IS
14,USDJPY,Buy,21.07.2021 01:45:00,109.88,0.4,21.07.2021 23:45:00,110.286,22h 0m,145.25,-8.21,-2,145.25,-8.21,40.6,2.4,1.48,-0.02,Strategy 6.27.190,IS
16,USDJPY,Buy,22.07.2021 10:45:00,110.288,0.4,22.07.2021 23:45:00,110.186,13h 0m,-39.03,-47.24,-2,-39.03,-47.24,-10.2,-7.8,-0.39,-0.41,Strategy 6.27.190,IS
18,USDJPY,Buy,23.07.2021 05:15:00,110.246,0.4,23.07.2021 23:45:00,110.551,18h 30m,108.36,61.12,-2,108.36,61.12,30.5,22.7,1.09,0.68,Strategy 6.27.190,IS
20,USDJPY,Buy,28.07.2021 11:00:00,110.02,0.4,28.07.2021 23:45:00,109.892,12h 45m,-48.59,12.53,-2,-48.59,12.53,-12.8,9.9,-0.48,0.19,Strategy 6.27.190,IS
22,USDJPY,Buy,30.07.2021 09:15:00,109.614,0.4,30.07.2021 23:45:00,109.692,14h 30m,26.44,38.97,-2,26.44,38.97,7.8,17.7,0.26,0.46,Strategy 6.27.190,IS
24,USDJPY,Buy,04.08.2021 09:15:00,109.171,0.4,04.08.2021 23:45:00,109.483,14h 30m,111.99,150.96,-2,111.99,150.96,31.2,48.9,1.12,1.57,Strategy 6.27.190,IS
26,USDJPY,Buy,05.08.2021 01:30:00,109.57,0.4,05.08.2021 23:45:00,109.783,22h 15m,75.61,226.57,-2,75.61,226.57,21.3,70.2,0.74,2.32,Strategy 6.27.190,IS
28,USDJPY,Buy,06.08.2021 13:30:00,109.889,0.4,06.08.2021 23:45:00,110.233,10h 15m,122.83,349.4,-2,122.83,349.4,34.4,104.6,1.2,3.52,Strategy 6.27.190,IS
30,USDJPY,Buy,09.08.2021 18:00:00,110.336,0.4,09.08.2021 23:45:00,110.348,5h 45m,2.35,351.75,-2,2.35,351.75,1.2,105.8,0.02,3.54,Strategy 6.27.190,IS
32,USDJPY,Buy,10.08.2021 03:15:00,110.436,0.4,10.08.2021 23:45:00,110.597,20h 30m,56.23,407.98,-2,56.23,407.98,16.1,121.9,0.54,4.08,Strategy 6.27.190,IS
34,USDJPY,Buy,12.08.2021 15:45:00,110.572,0.4,12.08.2021 23:45:00,110.437,8h 0m,-50.9,357.08,-2,-50.9,357.08,-13.5,108.4,-0.49,3.59,Strategy 6.27.190,IS
36,USDJPY,Buy,18.08.2021 07:00:00,109.692,0.4,18.08.2021 23:45:00,109.764,16h 45m,24.24,381.32,-2,24.24,381.32,7.2,115.6,0.23,3.83,Strategy 6.27.190,IS
38,USDJPY,Buy,19.08.2021 03:15:00,109.97,0.4,19.08.2021 23:45:00,109.766,20h 30m,-76.34,304.98,-2,-76.34,304.98,-20.4,95.2,-0.74,3.09,Strategy 6.27.190,IS
40,USDJPY,Buy,20.08.2021 03:15:00,109.88,0.4,20.08.2021 23:45:00,109.802,20h 30m,-30.41,274.57,-2,-30.41,274.57,-7.8,87.4,-0.3,2.8,Strategy 6.27.190,IS
42,USDJPY,Buy,23.08.2021 02:15:30,109.873,0.4,23.08.2021 23:45:00,109.699,21h 29m,-65.45,209.12,-2,-65.45,209.12,-17.4,70,-0.64,2.16,Strategy 6.27.190,IS
44,USDJPY,Buy,24.08.2021 04:00:00,109.811,0.4,24.08.2021 23:45:00,109.682,19h 45m,-49.05,160.07,-2,-49.05,160.07,-12.9,57.1,-0.48,1.68,Strategy 6.27.190,IS
46,USDJPY,Buy,25.08.2021 06:15:00,109.86,0.4,25.08.2021 23:45:00,109.991,17h 30m,45.64,205.71,-2,45.64,205.71,13.1,70.2,0.45,2.13,Strategy 6.27.190,IS
48,USDJPY,Buy,26.08.2021 03:45:00,110.059,0.4,26.08.2021 23:45:00,110.074,20h 0m,3.45,209.16,-2,3.45,209.16,1.5,71.7,0.03,2.16,Strategy 6.27.190,IS
50,USDJPY,Buy,27.08.2021 10:30:00,110.098,0.4,27.08.2021 23:45:00,109.846,13h 15m,-93.76,115.4,-2,-93.76,115.4,-25.2,46.5,-0.92,1.25,Strategy 6.27.190,IS
52,USDJPY,Buy,30.08.2021 11:15:00,109.897,0.4,30.08.2021 23:45:00,109.932,12h 30m,10.74,126.14,-2,10.74,126.14,3.5,50,0.11,1.35,Strategy 6.27.190,IS
54,USDJPY,Buy,31.08.2021 01:15:00,109.998,0.4,31.08.2021 23:45:00,110.001,22h 30m,-0.91,125.23,-2,-0.91,125.23,0.3,50.3,-0.01,1.34,Strategy 6.27.190,IS
56,USDJPY,Buy,01.09.2021 03:00:00,110.109,0.4,01.09.2021 23:45:00,110.063,20h 45m,-18.72,106.51,-2,-18.72,106.51,-4.6,45.7,-0.18,1.16,Strategy 6.27.190,IS
58,USDJPY,Buy,02.09.2021 10:00:00,110.114,0.4,02.09.2021 23:45:00,109.933,13h 45m,-67.86,38.65,-2,-67.86,38.65,-18.1,27.6,-0.67,0.49,Strategy 6.27.190,IS
60,USDJPY,Buy,03.09.2021 06:00:00,110.11,0.4,03.09.2021 23:45:30,109.731,17h 45m,-140.16,-101.51,-2,-140.16,-101.51,-37.9,-10.3,-1.4,-0.91,Strategy 6.27.190,IS
62,USDJPY,Buy,06.09.2021 10:15:00,109.927,0.4,06.09.2021 23:45:00,109.838,13h 30m,-34.41,-135.92,-2,-34.41,-135.92,-8.9,-19.2,-0.35,-1.26,Strategy 6.27.190,IS
64,USDJPY,Buy,07.09.2021 09:15:00,109.936,0.4,07.09.2021 23:45:00,110.292,14h 30m,127.11,-8.81,-2,127.11,-8.81,35.6,16.4,1.29,0.03,Strategy 6.27.190,IS
66,USDJPY,Buy,13.09.2021 03:15:00,110.01,0.4,13.09.2021 23:45:00,110.003,20h 30m,-4.55,-13.36,-2,-4.55,-13.36,-0.7,15.7,-0.05,-0.01,Strategy 6.27.190,IS
68,USDJPY,Buy,14.09.2021 04:15:00,110.108,0.4,14.09.2021 23:45:00,109.681,19h 30m,-157.72,-171.08,-2,-157.72,-171.08,-42.7,-27,-1.58,-1.59,Strategy 6.27.190,IS
70,USDJPY,Buy,16.09.2021 15:45:00,109.677,0.4,16.09.2021 23:45:00,109.741,8h 0m,21.33,-149.75,-2,21.33,-149.75,6.4,-20.6,0.22,-1.38,Strategy 6.27.190,IS
72,USDJPY,Buy,22.09.2021 12:15:00,109.601,0.4,22.09.2021 23:45:00,109.786,11h 30m,65.4,-84.35,-2,65.4,-84.35,18.5,-2.1,0.66,-0.71,Strategy 6.27.190,IS
74,USDJPY,Buy,23.09.2021 01:15:00,109.855,0.4,23.09.2021 23:45:00,110.33,22h 30m,170.21,85.86,-2,170.21,85.86,47.5,45.4,1.72,1,Strategy 6.27.190,IS
76,USDJPY,Buy,28.09.2021 04:15:00,111.099,0.4,28.09.2021 23:45:00,111.516,19h 30m,147.57,233.43,-2,147.57,233.43,41.7,87.1,1.46,2.47,Strategy 6.27.190,IS
78,USDJPY,Buy,29.09.2021 15:30:00,111.547,0.4,29.09.2021 23:45:00,111.989,8h 15m,155.87,389.3,-2,155.87,389.3,44.2,131.3,1.52,3.99,Strategy 6.27.190,IS
80,USDJPY,Buy,04.10.2021 05:30:00,111.044,0.4,04.10.2021 23:45:00,110.924,18h 15m,-45.27,344.03,-2,-45.27,344.03,-12,119.3,-0.44,3.55,Strategy 6.27.190,IS
82,USDJPY,Buy,05.10.2021 04:30:00,111.015,0.4,05.10.2021 23:45:00,111.455,19h 15m,155.91,499.94,-2,155.91,499.94,44,163.3,1.51,5.06,Strategy 6.27.190,IS
84,USDJPY,Buy,06.10.2021 21:30:00,111.497,0.4,06.10.2021 23:45:30,111.418,2h 15m,-30.36,469.58,-2,-30.36,469.58,-7.9,155.4,-0.29,4.77,Strategy 6.27.190,IS
86,USDJPY,Buy,07.10.2021 05:00:00,111.47,0.4,07.10.2021 23:45:00,111.641,18h 45m,59.27,528.85,-2,59.27,528.85,17.1,172.5,0.57,5.34,Strategy 6.27.190,IS
88,USDJPY,Buy,08.10.2021 01:30:00,111.632,0.4,08.10.2021 23:45:00,112.242,22h 15m,215.39,744.24,-2,215.39,744.24,61,233.5,2.05,7.38,Strategy 6.27.190,IS
90,USDJPY,Buy,11.10.2021 00:45:00,112.247,0.4,11.10.2021 23:45:00,113.301,23h 0m,370.11,1114.35,-2,370.11,1114.35,105.4,338.9,3.44,10.83,Strategy 6.27.190,IS
92,USDJPY,Buy,13.10.2021 10:15:00,113.572,0.4,13.10.2021 23:45:00,113.262,13h 30m,-111.48,1002.87,-2,-111.48,1002.87,-31,307.9,-1,9.83,Strategy 6.27.190,IS
94,USDJPY,Buy,14.10.2021 03:45:00,113.386,0.4,14.10.2021 23:45:00,113.681,20h 0m,101.8,1104.67,-2,101.8,1104.67,29.5,337.4,0.93,10.75,Strategy 6.27.190,IS
