Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,XAUUSD,Buy,02.07.2021 03:45:00,1778.01,0.1,02.07.2021 15:00:40,1789.41,11h 15m,113.75,113.75,-0.25,113.75,113.75,114000,114000,1.14,1.14,tp 1789.41,IS
4,XAUUSD,Buy,06.07.2021 04:45:00,1794.23,0.1,06.07.2021 09:00:40,1805.63,4h 15m,113.74,227.49,-0.26,113.74,227.49,114000,228000,1.12,2.26,tp 1805.63,IS
6,XAUUSD,Buy,07.07.2021 04:30:00,1801.84,0.1,07.07.2021 23:45:00,1803.81,19h 15m,19.44,246.93,-0.26,19.44,246.93,19700,247700,0.19,2.45,Strategy 2.13.130,IS
8,XAUUSD,Buy,08.07.2021 10:30:00,1806.01,0.1,08.07.2021 13:00:40,1817.41,2h 30m,113.74,360.67,-0.26,113.74,360.67,114000,361700,1.11,3.56,tp 1817.41,IS
10,XAUUSD,Buy,09.07.2021 04:45:00,1806.24,0.1,09.07.2021 23:45:00,1808.22,19h 0m,19.54,380.21,-0.26,19.54,380.21,19800,381500,0.19,3.75,Strategy 2.13.130,IS
12,XAUUSD,Buy,13.07.2021 03:15:00,1808.65,0.1,13.07.2021 23:45:00,1807.77,20h 30m,-9.06,371.15,-0.26,-9.06,371.15,-8800,372700,-0.09,3.66,Strategy 2.13.130,IS
14,XAUUSD,Buy,14.07.2021 05:45:00,1811.42,0.1,14.07.2021 15:00:40,1822.82,9h 15m,113.74,484.89,-0.26,113.74,484.89,114000,486700,1.1,4.76,tp 1822.82,IS
16,XAUUSD,Buy,15.07.2021 04:45:00,1828.1,0.1,15.07.2021 23:45:00,1829.25,19h 0m,11.24,496.13,-0.26,11.24,496.13,11500,498200,0.11,4.87,Strategy 2.13.130,IS
18,XAUUSD,Buy,16.07.2021 02:15:00,1831.36,0.1,16.07.2021 13:00:40,1819.81,10h 45m,-115.76,380.37,-0.26,-115.76,380.37,-115500,382700,-1.1,3.76,sl 1819.81,IS
20,XAUUSD,Buy,20.07.2021 03:15:00,1813.74,0.1,20.07.2021 23:45:00,1810.08,20h 30m,-36.86,343.51,-0.26,-36.86,343.51,-36600,346100,-0.36,3.41,Strategy 2.13.130,IS
22,XAUUSD,Buy,21.07.2021 09:15:00,1812.43,0.1,21.07.2021 14:00:40,1800.88,4h 45m,-115.76,227.75,-0.26,-115.76,227.75,-115500,230600,-1.12,2.29,sl 1800.88,IS
24,XAUUSD,Buy,22.07.2021 10:15:00,1803.01,0.1,22.07.2021 23:45:00,1806.61,13h 30m,35.74,263.49,-0.26,35.74,263.49,36000,266600,0.35,2.64,Strategy 2.13.130,IS
26,XAUUSD,Buy,23.07.2021 02:15:00,1808.45,0.1,23.07.2021 14:00:40,1796.9,11h 45m,-115.76,147.73,-0.26,-115.76,147.73,-115500,151100,-1.13,1.51,sl 1796.90,IS
28,XAUUSD,Buy,27.07.2021 10:45:00,1800,0.1,27.07.2021 23:45:00,1799.33,13h 0m,-6.96,140.77,-0.26,-6.96,140.77,-6700,144400,-0.07,1.44,Strategy 2.13.130,IS
30,XAUUSD,Buy,28.07.2021 04:30:00,1802.98,0.1,28.07.2021 23:45:00,1807.61,19h 15m,46.04,186.81,-0.26,46.04,186.81,46300,190700,0.45,1.9,Strategy 2.13.130,IS
32,XAUUSD,Buy,29.07.2021 09:45:00,1817.48,0.1,29.07.2021 18:00:40,1828.88,8h 15m,113.74,300.55,-0.26,113.74,300.55,114000,304700,1.12,3.01,tp 1828.88,IS
34,XAUUSD,Buy,30.07.2021 02:45:00,1831.02,0.1,30.07.2021 19:00:40,1819.47,16h 15m,-115.76,184.79,-0.26,-115.76,184.79,-115500,189200,-1.12,1.89,sl 1819.47,IS
36,XAUUSD,Buy,05.08.2021 11:00:00,1813.74,0.1,05.08.2021 16:00:40,1802.19,5h 0m,-115.76,69.03,-0.26,-115.76,69.03,-115500,73700,-1.14,0.75,sl 1802.19,IS
38,XAUUSD,Buy,10.08.2021 04:30:00,1735.1,0.1,10.08.2021 16:00:40,1723.55,11h 30m,-115.74,-46.71,-0.24,-115.74,-46.71,-115500,-41800,-1.15,-0.4,sl 1723.55,IS
40,XAUUSD,Buy,11.08.2021 05:15:00,1731.36,0.1,11.08.2021 15:00:40,1742.76,9h 45m,113.76,67.05,-0.24,113.76,67.05,114000,72200,1.14,0.75,tp 1742.76,IS
42,XAUUSD,Buy,12.08.2021 03:00:00,1752.48,0.1,12.08.2021 23:45:00,1753.28,20h 45m,7.76,74.81,-0.24,7.76,74.81,8000,80200,0.08,0.82,Strategy 2.13.130,IS
44,XAUUSD,Buy,13.08.2021 04:30:00,1754.57,0.1,13.08.2021 17:00:40,1765.97,12h 30m,113.76,188.57,-0.24,113.76,188.57,114000,194200,1.13,1.95,tp 1765.97,IS
46,XAUUSD,Buy,17.08.2021 02:15:00,1788.59,0.1,17.08.2021 23:45:00,1785.35,21h 30m,-32.65,155.92,-0.25,-32.65,155.92,-32400,161800,-0.32,1.63,Strategy 2.13.130,IS
48,XAUUSD,Buy,18.08.2021 04:15:00,1788.22,0.1,18.08.2021 23:45:00,1787.88,19h 30m,-3.66,152.26,-0.26,-3.66,152.26,-3400,158400,-0.04,1.6,Strategy 2.13.130,IS
50,XAUUSD,Buy,19.08.2021 11:45:00,1787.17,0.1,19.08.2021 23:45:00,1780.33,12h 0m,-68.65,83.61,-0.25,-68.65,83.61,-68400,90000,-0.68,0.92,Strategy 2.13.130,IS
52,XAUUSD,Buy,20.08.2021 04:30:00,1784.38,0.1,20.08.2021 23:45:00,1781.18,19h 15m,-32.24,51.37,-0.24,-32.24,51.37,-32000,58000,-0.32,0.6,Strategy 2.13.130,IS
54,XAUUSD,Buy,24.08.2021 01:15:00,1805.9,0.1,24.08.2021 23:45:00,1803.52,22h 30m,-24.06,27.31,-0.26,-24.06,27.31,-23800,34200,-0.24,0.36,Strategy 2.13.130,IS
56,XAUUSD,Buy,26.08.2021 14:15:00,1789.94,0.1,26.08.2021 23:45:00,1791.34,9h 30m,13.74,41.05,-0.26,13.74,41.05,14000,48200,0.14,0.5,Strategy 2.13.130,IS
58,XAUUSD,Buy,27.08.2021 03:15:00,1793.84,0.1,27.08.2021 17:00:40,1805.24,13h 45m,113.74,154.79,-0.26,113.74,154.79,114000,162200,1.13,1.63,tp 1805.24,IS
60,XAUUSD,Buy,31.08.2021 04:00:00,1812.7,0.1,31.08.2021 23:45:00,1815.34,19h 45m,26.14,180.93,-0.26,26.14,180.93,26400,188600,0.26,1.89,Strategy 2.13.130,IS
62,XAUUSD,Buy,01.09.2021 07:00:00,1815.25,0.1,01.09.2021 23:45:00,1813.58,16h 45m,-16.96,163.97,-0.26,-16.96,163.97,-16700,171900,-0.17,1.72,Strategy 2.13.130,IS
64,XAUUSD,Buy,07.09.2021 03:15:00,1825.64,0.1,07.09.2021 11:00:40,1814.09,7h 45m,-115.76,48.21,-0.26,-115.76,48.21,-115500,56400,-1.14,0.58,sl 1814.09,IS
66,XAUUSD,Buy,08.09.2021 05:30:00,1799.81,0.1,08.09.2021 16:00:40,1788.26,10h 30m,-115.76,-67.55,-0.26,-115.76,-67.55,-115500,-59100,-1.15,-0.57,sl 1788.26,IS
68,XAUUSD,Buy,09.09.2021 10:30:00,1791.35,0.1,09.09.2021 23:45:00,1794.07,13h 15m,26.94,-40.61,-0.26,26.94,-40.61,27200,-31900,0.27,-0.3,Strategy 2.13.130,IS
70,XAUUSD,Buy,10.09.2021 06:00:00,1799.94,0.1,10.09.2021 21:00:20,1788.39,15h 0m,-115.76,-156.37,-0.26,-115.76,-156.37,-115500,-147400,-1.16,-1.46,sl 1788.39,IS
72,XAUUSD,Buy,14.09.2021 16:00:00,1797.31,0.1,14.09.2021 23:45:00,1805.18,7h 45m,78.44,-77.93,-0.26,78.44,-77.93,78700,-68700,0.8,-0.66,Strategy 2.13.130,IS
74,XAUUSD,Buy,17.09.2021 04:15:00,1757.51,0.1,17.09.2021 23:45:00,1752.83,19h 30m,-47.04,-124.97,-0.24,-47.04,-124.97,-46800,-115500,-0.47,-1.14,Strategy 2.13.130,IS
76,XAUUSD,Buy,21.09.2021 02:30:00,1765.23,0.1,21.09.2021 17:35:40,1776.63,15h 5m,113.76,-11.21,-0.24,113.76,-11.21,114000,-1500,1.15,0.01,tp 1776.63,IS
